mech,index,alpha,a11,a12,a13,a21,a22,a23,a31,a32,a33,float_mismatch,hp_dps,theorem_pred_member,gap_kappa_over_T_minus_1,hp_min_margin,hp_margin_independent_start,consistent
M4d,100842,0.6666666777510839,-0.31958009802917386,-108271723.60890308,1.0351709547772943e-09,3.5156041727357427e-10,-0.11661923317350568,145561.41544493166,488826484.97101396,-1.3207319409786669e-06,-1.6798575295877352,False,40,False,4.93190543249e-11,-2.86237305692e-19,-2.86237305692e-19,True
M4d,23972,0.6666666793542707,-0.16488823693182467,3475358.8732678783,-2.1731375948337366e-09,5.6751654288454006e-08,-5.116458755970092,430589716.7150061,-426447.2067266142,-1.7155380382593493e-10,-0.00921883405216025,False,40,True,-7.38711623637e-10,4.9074194429e-18,4.9074194429e-18,True
M4d,50321,0.6666666781580907,-21.921523734415235,6.012586094277633e-07,1346432218.165057,1516380.9343470957,-0.04449393616182669,2.6458584129498e-10,-6.259390954507264e-08,-63234791.80984919,-1.1985787802986698,False,40,True,-9.04645254702e-10,5.4431561516e-18,5.4431561516e-18,True
M4d,94754,0.6666666778160862,-2.6594517025893603,9084507.275961246,8.175488653754172e-09,-6.26525492839114e-08,-0.20392893322414837,24140669.33910937,-259443790.71887046,6.801703044872814e-09,-0.8676558554176412,False,40,True,-1.13171163106e-9,6.60673167008e-18,6.60673167008e-18,True
M4d,98845,0.6666666853995414,-11.014409221759166,-23482644.445432644,5.091148580340595e-07,1.4622718368361951e-05,-41.40383947776228,27477832805.318542,11646824.593269961,-2.1767828466063936e-09,-0.6464220494532731,False,40,True,-7.8741056682e-10,7.72332497321e-18,7.72332497321e-18,True
M4d,96752,0.6666666889875036,-111.47192412084534,1.191331762610905e-06,42268803.815741904,-3494644.2122898963,-0.024005116603019648,5.680667532500958e-11,-3.13961884470711e-08,2591842.327846531,-0.009494263483080821,False,40,False,8.09905251168e-10,-9.46549505178e-18,-9.46549505178e-18,True
M4d,103153,0.6666666778112451,-0.061256509095288056,-7.174323305285706e-10,-938133.9472007276,220003464.21819744,-3.167835693384532,-9.602406533990803e-08,5.957634890983441e-07,81634027.40022956,-0.7171486967485792,False,40,True,-1.91797477918e-9,1.11919359091e-17,1.11919359091e-17,True
M4d,66263,0.6666666826363838,-2.9322011171224114,48326087.58774781,8.577967880098242e-09,1.762818082231958e-09,-0.5433416468445633,8908373.865209054,-48134922.68102797,-1.8539457588694627e-08,-0.3161061724500862,False,40,True,-1.36756061494e-9,1.14351652349e-17,1.14351652349e-17,True
M4d,67364,0.6666666769469937,-0.3128722673841025,-1.0118578337243829e-09,-20523063.603993163,99661958.87756951,-0.5959764196429274,3.056070286198099e-08,2.470045424149913e-08,803710.3996310765,-0.057156198426227295,False,40,True,-2.21668226895e-9,1.19318855609e-17,1.19318855609e-17,True
M4d,29413,0.6666666786312108,-148.34731708583868,-7.16593917843565e-07,-255389934.47604284,41222013.07091162,-0.2703230532715409,-5.925849063066496e-10,-2.6643530534954684e-07,225735280.78636697,-0.605655703965946,False,40,False,2.31711686888e-9,-1.45158583793e-17,-1.45158583793e-17,True
M4d,93118,0.6666666788186028,-1.2709210762750944,7.543938646761246e-10,11442393.361044036,-14169058.073260844,-0.3062675018025113,2.324744731898275e-10,-1.9025525215079248e-06,490829971.06764144,-2.189139861462849,False,40,True,-2.32034835274e-9,1.4763771643e-17,1.4763771643e-17,True
M4d,67013,0.6666666788907165,-0.07238399778983061,-5.798670946770467e-09,3933630.0714637795,-9928275.254209904,-0.854962822673354,-1.4765758870596938e-08,7.954403936611893e-09,64185393.72444562,-0.4414960187088791,False,40,True,-2.4551075282e-9,1.57139099459e-17,1.57139099459e-17,True
M4d,50482,0.6666666844350214,-0.1835086229806803,-6.867325501356985e-08,-1269779656.1558828,4660880.52250763,-4.77107429674129,6.672749565967862e-07,-1.6301120333251845e-10,5420844.186193133,-1.226591591640723,False,40,False,2.17320160611e-9,-2.02183568266e-17,-2.02183568266e-17,True
M4d,72433,0.6666666866511934,-0.23626778129499765,5.276891595475292e-09,11277925.751140717,4410499.266422823,-0.16249467912000826,-5.688113621868178e-09,-1.9538476041698395e-08,-26354782.942118533,-1.6262305242453885,False,40,False,2.48008539708e-9,-2.59513007233e-17,-2.59513007233e-17,True
M4d,101444,0.6666666770139055,-0.2083429137365701,1216972.4935955203,-5.061054520972319e-10,1.6089919118660215e-07,-0.9809683323512965,63861587.21813735,-115526356.84221411,-6.190929521734492e-08,-0.290408198600814,False,40,True,-4.91839220776e-9,2.66468753548e-17,2.66468753548e-17,True
M4d,96109,0.6666666815551534,-0.007140880823381142,135431.97700091853,5.833588187814252e-13,1.0402858515541752e-07,-4.352765260672285,13398097.047055379,-7777847014.782413,2.640633774987367e-06,-8.94182383594331,False,40,False,3.71609987544e-9,-2.89692037474e-17,-2.89692037474e-17,True
M4d,64155,0.6666666825240914,-0.0713152515267033,10692333.87618637,-1.5240496074918687e-09,-1.412729155525096e-07,-4.9109857342983965,-15259728.27562138,30847220.055129398,6.219509815978821e-07,-0.34193991528705703,False,40,False,3.58012293498e-9,-2.97255074196e-17,-2.97255074196e-17,True
M4d,29224,0.6666666808043461,-0.9224699479338252,765969.5843520478,2.198745865020042e-11,-4.3934618039125325e-08,-0.004975114866755397,-45387.33715950351,1398002878.8122604,6.308554745360734e-08,-0.17856689658656347,False,40,True,-4.13562037492e-9,3.06138157366e-17,3.06138157366e-17,True
M4d,93729,0.6666666807288846,-0.8790412293120832,-5.296789969827983e-07,-48782700.62534674,4125875.000718535,-0.5721289672354435,-3.739097992771159e-08,7.912701344976675e-09,1702307566.2057679,-11.304354989690067,False,40,True,-4.25339199633e-9,3.1317559746e-17,3.1317559746e-17,True
M4d,105608,0.6666666770263477,-0.28479669121962575,8.285710967870195e-08,29525922.65380577,-85657166.4700381,-5.507917585690261,-5.7968478108573054e-08,-4.4405848929845934e-08,1927370652.8222787,-20.616592297724907,False,40,False,5.99496484215e-9,-3.25185870158e-17,-3.25185870158e-17,True
M4d,94957,0.6666666856792277,-2.5970582448982142,-2.900796504874191e-08,1194064122.9442294,-3133953.0964546027,-0.17860932412460684,5.597915430316103e-08,5.96319594513833e-10,3546425.74803868,-1.1733154695022445,False,40,True,-3.34637782039e-9,3.33130363314e-17,3.33130363314e-17,True
M4a,390296,0.6666667666666666,-0.006392345749928987,-2338.335928896427,-2.722166942223639e-10,0.00011152404877147741,-4.8851283072567275,36218096.58193706,15354956.180142159,-3.268521789285899e-07,-0.2484911112754009,False,40,True,-6.3988301642e-10,3.35042414158e-17,3.35042414158e-17,True
