beta12,beta13,beta23,alpha,T1,T_Phi,T_alpha,certified_band_fraction,T_Phi_over_T_alpha,x1*,x2*,x3*
0.01,0.01,0.01,0.6667,0.09,10942357.0536,4.5243628533e+12,2.41854097878e-06,2.41854099867e-06,0.333333333333,0.333333333333,0.333333333333
0.01,0.01,0.0158489319246,0.6667,0.106205948396,12912704.5396,4.52436445337e+12,2.85403719494e-06,2.85403721842e-06,0.333333411924,0.333333294038,0.333333294038
0.01,0.01,0.0251188643151,0.6667,0.128514592014,15625028.36,4.52436698932e+12,3.45352803352e-06,3.45352806192e-06,0.333333536482,0.333333231759,0.333333231759
0.01,0.01,0.0398107170553,0.6667,0.159621209654,19407025.2151,4.52437100853e+12,4.28944156411e-06,4.28944159939e-06,0.333333733892,0.333333133054,0.333333133054
0.01,0.01,0.063095734448,0.6667,0.203571191708,24750540.7277,4.52437737853e+12,5.4704854289e-06,5.47048547389e-06,0.333334046765,0.333332976617,0.333332976617
0.01,0.01,0.1,0.6667,0.266491106407,32400453.7544,4.5243874743e+12,7.16129059944e-06,7.16129065834e-06,0.333334542635,0.333332728683,0.333332728683
0.01,0.01,0.158489319246,0.6667,0.357732187468,43493703.6091,4.52440347498e+12,9.61313540931e-06,9.61313548838e-06,0.33333532853,0.333332335735,0.333332335735
0.01,0.01,0.251188643151,0.6667,0.491663536602,59777310.7524,4.52442883428e+12,1.32121229994e-05,1.32121231081e-05,0.333336574078,0.333331712961,0.333331712961
0.01,0.01,0.398107170553,0.6667,0.690490108346,83950992.3052,4.52446902586e+12,1.85548826028e-05,1.85548827554e-05,0.333338548111,0.333330725944,0.333330725944
0.01,0.01,0.63095734448,0.6667,0.98868863837,120206489.954,4.52453272473e+12,2.65677134587e-05,2.65677136772e-05,0.333341676671,0.333329161665,0.333329161665
0.01,0.01,1,0.6667,1.44,175077712.857,4.52463367942e+12,3.86943394364e-05,3.86943397547e-05,0.333346634923,0.333326682539,0.333326682539
0.01,0.01,1.58489319246,0.6667,2.12846335718,258782289.218,4.52479367874e+12,5.71920634318e-05,5.71920639021e-05,0.33335449277,0.333322753615,0.333322753615
0.01,0.01,2.51188643151,0.6667,3.18584370849,387340437.502,4.52504725285e+12,8.55992021017e-05,8.55992028057e-05,0.333366945479,0.33331652726,0.33331652726
0.01,0.01,3.98107170553,0.6667,4.81917663152,585923904.514,4.52544912133e+12,0.000129473094048,0.000129473095113,0.333386678836,0.333306660582,0.333306660582
0.01,0.01,6.3095734448,0.6667,7.35432801741,894152033.949,4.52608599122e+12,0.000197555244936,0.00019755524656,0.333417946922,0.333291026539,0.333291026539
0.01,0.01,10,0.6667,11.3049110641,1374470814.69,4.52709523969e+12,0.000303609871366,0.000303609873862,0.333467485482,0.333266257259,0.333266257259
0.01,0.01,15.8489319246,0.6667,17.4813606068,2125414328.24,4.52869448379e+12,0.000469321637478,0.000469321641336,0.333545953604,0.333227023198,0.333227023198
0.01,0.01,25.1188643151,0.6667,27.1636132496,3302599500.47,4.53122834497e+12,0.000728853022159,0.00072885302815,0.333670203829,0.333164898086,0.333164898086
0.01,0.01,39.8107170553,0.6667,42.3745464333,5151971300.62,4.53524231461e+12,0.00113598588585,0.00113598589518,0.333866843139,0.333066578431,0.333066578431
0.01,0.01,63.095734448,0.6667,66.3130473869,8062456020.19,4.54159919744e+12,0.00177524603196,0.00177524604653,0.334177784922,0.332911107539,0.332911107539
0.01,0.01,100,0.6667,104.04,12649364753.9,4.55166211087e+12,0.00277906495299,0.00277906497578,0.334668821222,0.332665589389,0.332665589389
