alpha,n_beta,rho_alpha,frac_min,frac_median,frac_max,Tphi_over_Talpha_min,Tphi_over_Talpha_median,Tphi_over_Talpha_max,worst_beta,best_beta,sym_slice_frac_range,violations_Tphi_gt_Talpha
0.6667,1771,8.22491896e-09,2.418540979e-06,0.0009089216885,0.02375454971,2.418540999e-06,0.000908921696,0.0237545499,"[0.01, 0.01, 0.01]","[100.0, 100.0, 100.0]","[2.4185409787768364e-06, 0.023754549710057728]",0
0.68,1771,0.001331713635,0.0009898433187,0.2572200554,0.9998545322,0.000991161956,0.2574747418,0.9998547259,"[0.01, 0.01, 0.01]","[63.095734448019364, 100.0, 100.0]","[0.0009898433186536525, 0.9958829912928481]",0
0.7,1771,0.008467496457,0.00255723992,0.4486466626,0.9999952371,0.002579021934,0.4507510309,0.9999952775,"[0.01, 0.01, 0.01]","[15.848931924611142, 39.810717055349734, 63.095734448019364]","[0.0025572399196184007, 0.9957806240448422]",0
0.75,1771,0.05505270817,0.00690204798,0.6603261231,0.9999884234,0.007301225948,0.6729095085,0.9999890607,"[0.01, 0.01, 0.01]","[1.0, 63.095734448019364, 100.0]","[0.006902047980496388, 0.9952322037043365]",0
0.8,1771,0.1458980338,0.01193161971,0.7442152231,0.9999992439,0.01394136888,0.7730648403,0.9999993542,"[0.01, 0.01, 0.01]","[2.5118864315095824, 6.309573444801936, 63.095734448019364]","[0.011931619709355109, 0.9948531446606088]",0
0.85,1771,0.2842054962,0.01807294169,0.7821159335,0.9999997332,0.02506889475,0.833744609,0.999999809,"[0.01, 0.01, 0.01]","[0.25118864315095807, 39.810717055349734, 100.0]","[0.018072941688246257, 0.9986100823435466]",0
0.9,1771,0.4721491072,0.02690922482,0.7871741785,0.9999994774,0.04978063674,0.8751100704,0.9999997242,"[0.01, 0.01, 0.01]","[0.3981071705534973, 15.848931924611142, 39.810717055349734]","[0.026909224821747617, 0.999051722709307]",0
0.95,1771,0.7107869359,0.04530648798,0.7735257399,0.999999975,0.1409588892,0.9219340181,0.9999999928,"[0.01, 0.01, 0.01]","[0.1584893192461114, 25.11886431509582, 63.095734448019364]","[0.0453064879812487, 0.9985377534813955]",0
0.99,1771,0.93815761,0.09179225908,0.7164565373,0.9999997938,0.6203940397,0.9761100716,0.9999999872,"[0.01, 0.01, 0.01]","[0.1, 25.11886431509582, 100.0]","[0.09179225907802648, 0.9946125281679455]",0
0.999,1771,0.9937266869,0.112485496,0.6877570511,0.9999999754,0.9528377153,0.9971599931,0.9999999998,"[0.01, 0.01, 0.01]","[0.25118864315095807, 10.0, 39.810717055349734]","[0.11248549600688067, 0.995936909324848]",0
0.9999,1771,0.9993717802,0.1148236828,0.6822170252,0.9999992896,0.9951803914,0.999707455,0.9999999996,"[0.01, 0.01, 0.01]","[0.25118864315095807, 10.0, 39.810717055349734]","[0.11482368277853558, 0.9960578413306184]",0
