alpha,T1,T_alpha,W_alpha,L3_at_kappa0,L3_cain_boundary,L3_fractional_boundary,realizability,sqrt4G
0.666667666667,27,1.67586168523e+17,1.67586168523e+17,7,-20,-1.67586168523e+17,all L3,0
0.666667699052,27,1.52304582e+17,1.52304582e+17,7,-20,-1.52304582e+17,all L3,0
0.666667732486,27,1.38416470934e+17,1.38416470934e+17,7,-20,-1.38416470934e+17,all L3,0
0.666667767003,27,1.25794768953e+17,1.25794768953e+17,7,-20,-1.25794768953e+17,all L3,0
0.666667802638,27,1.14323996546e+17,1.14323996546e+17,7,-20,-1.14323996546e+17,all L3,0
0.666667839426,27,1.03899204152e+17,1.03899204152e+17,7,-20,-1.03899204152e+17,all L3,0
0.666667877406,27,9.44250125497e+16,9.44250125497e+16,7,-20,-9.44250125497e+16,all L3,0
0.666667916617,27,8.58147395082e+16,8.58147395082e+16,7,-20,-8.58147395082e+16,all L3,0
0.666667957096,27,7.798960726e+16,7.798960726e+16,7,-20,-7.798960726e+16,all L3,0
0.666667998887,27,7.08780214732e+16,7.08780214732e+16,7,-20,-7.08780214732e+16,all L3,0
0.666668042032,27,6.44149162681e+16,6.44149162681e+16,7,-20,-6.44149162681e+16,all L3,0
0.666668086573,27,5.85411588569e+16,5.85411588569e+16,7,-20,-5.85411588569e+16,all L3,0
0.666668132557,27,5.32030086779e+16,5.32030086779e+16,7,-20,-5.32030086779e+16,all L3,0
0.666668180031,27,4.8351625492e+16,4.8351625492e+16,7,-20,-4.8351625492e+16,all L3,0
0.666668229041,27,4.39426227006e+16,4.39426227006e+16,7,-20,-4.39426227006e+16,all L3,0
0.666668279639,27,3.99356611478e+16,3.99356611478e+16,7,-20,-3.99356611478e+16,all L3,0
0.666668331876,27,3.62940800627e+16,3.62940800627e+16,7,-20,-3.62940800627e+16,all L3,0
0.666668385804,27,3.29845616821e+16,3.29845616821e+16,7,-20,-3.29845616821e+16,all L3,0
0.666668441479,27,2.99768263344e+16,2.99768263344e+16,7,-20,-2.99768263344e+16,all L3,0
0.666668498956,27,2.7243355479e+16,2.7243355479e+16,7,-20,-2.7243355479e+16,all L3,0
0.666668558296,27,2.47591398806e+16,2.47591398806e+16,7,-20,-2.47591398806e+16,all L3,0
0.666668619557,27,2.25014508293e+16,2.25014508293e+16,7,-20,-2.25014508293e+16,all L3,0
0.666668682801,27,2.0449632156e+16,2.0449632156e+16,7,-20,-2.0449632156e+16,all L3,0
0.666668748094,27,1.85849112601e+16,1.85849112601e+16,7,-20,-1.85849112601e+16,all L3,0
0.666668815502,27,1.68902273624e+16,1.68902273624e+16,7,-20,-1.68902273624e+16,all L3,0
0.666668885093,27,1.5350075379e+16,1.5350075379e+16,7,-20,-1.5350075379e+16,all L3,0
0.666668956937,27,1.39503640977e+16,1.39503640977e+16,7,-20,-1.39503640977e+16,all L3,0
0.666669031108,27,1.26782872294e+16,1.26782872294e+16,7,-20,-1.26782872294e+16,all L3,0
0.666669107681,27,1.15222062427e+16,1.15222062427e+16,7,-20,-1.15222062427e+16,all L3,0
0.666669186734,27,1.04715438898e+16,1.04715438898e+16,7,-20,-1.04715438898e+16,all L3,0
0.666669268347,27,9.51668742574e+15,9.51668742574e+15,7,-20,-9.51668742574e+15,all L3,0
0.666669352603,27,8.64890065538e+15,8.64890065538e+15,7,-20,-8.64890065538e+15,all L3,0
0.666669439588,27,7.86024400858e+15,7.86024400858e+15,7,-20,-7.86024400858e+15,all L3,0
