alpha,T1,T_alpha,W_alpha,L3_at_kappa0,L3_cain_boundary,L3_fractional_boundary,realizability,sqrt4G
0.666667666667,9.8,1.6758507425e+17,1.6758507425e+17,3.4,-6.4,-1.6758507425e+17,all L3,0
0.666667699052,9.8,1.52303555303e+17,1.52303555303e+17,3.4,-6.4,-1.52303555303e+17,all L3,0
0.666667732486,9.8,1.38415507641e+17,1.38415507641e+17,3.4,-6.4,-1.38415507641e+17,all L3,0
0.666667767003,9.8,1.25793865147e+17,1.25793865147e+17,3.4,-6.4,-1.25793865147e+17,all L3,0
0.666667802638,9.8,1.14323148554e+17,1.14323148554e+17,3.4,-6.4,-1.14323148554e+17,all L3,0
0.666667839426,9.8,1.03898408528e+17,1.03898408528e+17,3.4,-6.4,-1.03898408528e+17,all L3,0
0.666667877406,9.8,9.44242660589e+16,9.44242660589e+16,3.4,-6.4,-9.44242660589e+16,all L3,0
0.666667916617,9.8,8.58140391165e+16,8.58140391165e+16,3.4,-6.4,-8.58140391165e+16,all L3,0
0.666667957096,9.8,7.79889501207e+16,7.79889501207e+16,3.4,-6.4,-7.79889501207e+16,all L3,0
0.666667998887,9.8,7.08774049153e+16,7.08774049153e+16,3.4,-6.4,-7.08774049153e+16,all L3,0
0.666668042032,9.8,6.44143377854e+16,6.44143377854e+16,3.4,-6.4,-6.44143377854e+16,all L3,0
0.666668086573,9.8,5.85406160981e+16,5.85406160981e+16,3.4,-6.4,-5.85406160981e+16,all L3,0
0.666668132557,9.8,5.32024994369e+16,5.32024994369e+16,3.4,-6.4,-5.32024994369e+16,all L3,0
0.666668180031,9.8,4.8351147699e+16,4.8351147699e+16,3.4,-6.4,-4.8351147699e+16,all L3,0
0.666668229041,9.8,4.39421744134e+16,4.39421744134e+16,3.4,-6.4,-4.39421744134e+16,all L3,0
0.666668279639,9.8,3.99352405444e+16,3.99352405444e+16,3.4,-6.4,-3.99352405444e+16,all L3,0
