alpha,T1,T_alpha,W_alpha,L3_at_kappa0,L3_cain_boundary,L3_fractional_boundary,realizability,sqrt4G
0.666667666667,9,1.67584344741e+17,1.67584344741e+17,1,-8,-1.67584344741e+17,all L3,0
0.666667699052,9,1.52302870846e+17,1.52302870846e+17,1,-8,-1.52302870846e+17,all L3,0
0.666667732486,9,1.38414865452e+17,1.38414865452e+17,1,-8,-1.38414865452e+17,all L3,0
0.666667767003,9,1.25793262616e+17,1.25793262616e+17,1,-8,-1.25793262616e+17,all L3,0
0.666667802638,9,1.14322583233e+17,1.14322583233e+17,1,-8,-1.14322583233e+17,all L3,0
0.666667839426,9,1.03897878118e+17,1.03897878118e+17,1,-8,-1.03897878118e+17,all L3,0
0.666667877406,9,9.44237684042e+16,9.44237684042e+16,1,-8,-9.44237684042e+16,all L3,0
0.666667916617,9,8.58135721944e+16,8.58135721944e+16,1,-8,-8.58135721944e+16,all L3,0
0.666667957096,9,7.79885120334e+16,7.79885120334e+16,1,-8,-7.79885120334e+16,all L3,0
0.666667998887,9,7.0876993882e+16,7.0876993882e+16,1,-8,-7.0876993882e+16,all L3,0
0.666668042032,9,6.44139521354e+16,6.44139521354e+16,1,-8,-6.44139521354e+16,all L3,0
0.666668086573,9,5.85402542639e+16,5.85402542639e+16,1,-8,-5.85402542639e+16,all L3,0
0.666668132557,9,5.32021599478e+16,5.32021599478e+16,1,-8,-5.32021599478e+16,all L3,0
0.666668180031,9,4.8350829175e+16,4.8350829175e+16,1,-8,-4.8350829175e+16,all L3,0
0.666668229041,9,4.39418755598e+16,4.39418755598e+16,1,-8,-4.39418755598e+16,all L3,0
0.666668279639,9,3.99349601465e+16,3.99349601465e+16,1,-8,-3.99349601465e+16,all L3,0
0.666668331876,9,3.62934223516e+16,3.62934223516e+16,1,-8,-3.62934223516e+16,all L3,0
0.666668385804,9,3.29839445877e+16,3.29839445877e+16,1,-8,-3.29839445877e+16,all L3,0
0.666668441479,9,2.99762473484e+16,2.99762473484e+16,1,-8,-2.99762473484e+16,all L3,0
0.666668498956,9,2.72428122482e+16,2.72428122482e+16,1,-8,-2.72428122482e+16,all L3,0
0.666668558296,9,2.47586301968e+16,2.47586301968e+16,1,-8,-2.47586301968e+16,all L3,0
0.666668619557,9,2.25009726208e+16,2.25009726208e+16,1,-8,-2.25009726208e+16,all L3,0
0.666668682801,9,2.04491834792e+16,2.04491834792e+16,1,-8,-2.04491834792e+16,all L3,0
0.666668748094,9,1.85844902912e+16,1.85844902912e+16,1,-8,-1.85844902912e+16,all L3,0
0.666668815502,9,1.68898323903e+16,1.68898323903e+16,1,-8,-1.68898323903e+16,all L3,0
0.666668885093,9,1.53497047983e+16,1.53497047983e+16,1,-8,-1.53497047983e+16,all L3,0
0.666668956937,9,1.3950016402e+16,1.3950016402e+16,1,-8,-1.3950016402e+16,all L3,0
0.666669031108,9,1.26779610055e+16,1.26779610055e+16,1,-8,-1.26779610055e+16,all L3,0
0.666669107681,9,1.15219001648e+16,1.15219001648e+16,1,-8,-1.15219001648e+16,all L3,0
0.666669186734,9,1.04712567135e+16,1.04712567135e+16,1,-8,-1.04712567135e+16,all L3,0
0.666669268347,9,9.516417984e+15,9.516417984e+15,1,-8,-9.516417984e+15,all L3,0
0.666669352603,9,8.64864785293e+15,8.64864785293e+15,1,-8,-8.64864785293e+15,all L3,0
0.666669439588,9,7.86000681787e+15,7.86000681787e+15,1,-8,-7.86000681787e+15,all L3,0
0.66666952939,9,7.14327935422e+15,7.14327935422e+15,1,-8,-7.14327935422e+15,all L3,0
0.6666696221,9,6.49190789766e+15,6.49190789766e+15,1,-8,-6.49190789766e+15,all L3,0
0.666669717812,9,5.89993284718e+15,5.89993284718e+15,1,-8,-5.89993284718e+15,all L3,0
0.666669816624,9,5.3619380378e+15,5.3619380378e+15,1,-8,-5.3619380378e+15,all L3,0
0.666669918637,9,4.87300118769e+15,4.87300118769e+15,1,-8,-4.87300118769e+15,all L3,0
0.666670023953,9,4.42864886162e+15,4.42864886162e+15,1,-8,-4.42864886162e+15,all L3,0
0.666670132679,9,4.02481554395e+15,4.02481554395e+15,1,-8,-4.02481554395e+15,all L3,0
0.666670244927,9,3.6578064374e+15,3.6578064374e+15,1,-8,-3.6578064374e+15,all L3,0
0.66667036081,9,3.32426366325e+15,3.32426366325e+15,1,-8,-3.32426366325e+15,all L3,0
0.666670480446,9,3.02113553758e+15,3.02113553758e+15,1,-8,-3.02113553758e+15,all L3,0
0.666670603956,9,2.74564864823e+15,2.74564864823e+15,1,-8,-2.74564864823e+15,all L3,0
0.666670731466,9,2.49528248125e+15,2.49528248125e+15,1,-8,-2.49528248125e+15,all L3,0
0.666670863106,9,2.26774636142e+15,2.26774636142e+15,1,-8,-2.26774636142e+15,all L3,0
0.666670999008,9,2.06095849169e+15,2.06095849169e+15,1,-8,-2.06095849169e+15,all L3,0
0.666671139313,9,1.87302690791e+15,1.87302690791e+15,1,-8,-1.87302690791e+15,all L3,0
0.66667128416,9,1.70223216793e+15,1.70223216793e+15,1,-8,-1.70223216793e+15,all L3,0
0.666671433699,9,1.54701161973e+15,1.54701161973e+15,1,-8,-1.54701161973e+15,all L3,0
0.666671588081,9,1.40594510444e+15,1.40594510444e+15,1,-8,-1.40594510444e+15,all L3,0
0.666671747462,9,1.2777419629e+15,1.2777419629e+15,1,-8,-1.2777419629e+15,all L3,0
0.666671912005,9,1.16122922675e+15,1.16122922675e+15,1,-8,-1.16122922675e+15,all L3,0
0.666672081877,9,1.05534088721e+15,1.05534088721e+15,1,-8,-1.05534088721e+15,all L3,0
0.66667225725,9,9.59108140869e+14,9.59108140869e+14,1,-8,-9.59108140869e+14,all L3,0
0.666672438302,9,8.71650526722e+14,8.71650526722e+14,1,-8,-8.71650526722e+14,all L3,0
0.666672625218,9,7.92167869773e+14,7.92167869773e+14,1,-8,-7.92167869773e+14,all L3,0
0.666672818187,9,7.19932960416e+14,7.19932960416e+14,1,-8,-7.19932960416e+14,all L3,0
0.666673017406,9,6.54284901146e+14,6.54284901146e+14,1,-8,-6.54284901146e+14,all L3,0
0.666673223076,9,5.94623059296e+14,5.94623059296e+14,1,-8,-5.94623059296e+14,all L3,0
0.666673435408,9,5.40401571825e+14,5.40401571825e+14,1,-8,-5.40401571825e+14,all L3,0
0.666673654615,9,4.91124351403e+14,4.91124351403e+14,1,-8,-4.91124351403e+14,all L3,0
0.666673880922,9,4.46340547023e+14,4.46340547023e+14,1,-8,-4.46340547023e+14,all L3,0
0.666674114557,9,4.05640419398e+14,4.05640419398e+14,1,-8,-4.05640419398e+14,all L3,0
0.666674355759,9,3.68651592076e+14,3.68651592076e+14,1,-8,-3.68651592076e+14,all L3,0
0.666674604772,9,3.35035644147e+14,3.35035644147e+14,1,-8,-3.35035644147e+14,all L3,0
0.66667486185,9,3.04485014403e+14,3.04485014403e+14,1,-8,-3.04485014403e+14,all L3,0
0.666675127253,9,2.76720186977e+14,2.76720186977e+14,1,-8,-2.76720186977e+14,all L3,0
0.666675401252,9,2.51487134162e+14,2.51487134162e+14,1,-8,-2.51487134162e+14,all L3,0
0.666675684123,9,2.28554992205e+14,2.28554992205e+14,1,-8,-2.28554992205e+14,all L3,0
0.666675976156,9,2.07713949022e+14,2.07713949022e+14,1,-8,-2.07713949022e+14,all L3,0
0.666676277646,9,1.88773324583e+14,1.88773324583e+14,1,-8,-1.88773324583e+14,all L3,0
0.666676588901,9,1.71559826334e+14,1.71559826334e+14,1,-8,-1.71559826334e+14,all L3,0
0.666676910235,9,1.55915963669e+14,1.55915963669e+14,1,-8,-1.55915963669e+14,all L3,0
0.666677241976,9,1.41698607045e+14,1.41698607045e+14,1,-8,-1.41698607045e+14,all L3,0
0.66667758446,9,1.28777678389e+14,1.28777678389e+14,1,-8,-1.28777678389e+14,all L3,0
0.666677938035,9,1.17034961012e+14,1.17034961012e+14,1,-8,-1.17034961012e+14,all L3,0
0.666678303062,9,1.06363018014e+14,1.06363018014e+14,1,-8,-1.06363018014e+14,all L3,0
0.666678679909,9,9.6664209279e+13,9.66642092789e+13,1,-8,-9.6664209279e+13,all L3,0
0.666679068961,9,8.78497981816e+13,8.78497981816e+13,1,-8,-8.78497981816e+13,all L3,0
0.666679470613,9,7.98391396614e+13,7.98391396614e+13,1,-8,-7.98391396614e+13,all L3,0
0.666679885272,9,7.25589424157e+13,7.25589424157e+13,1,-8,-7.25589424157e+13,all L3,0
0.66668031336,9,6.59425983154e+13,6.59425983154e+13,1,-8,-6.59425983154e+13,all L3,0
0.666680755312,9,5.99295730081e+13,5.99295730081e+13,1,-8,-5.99295730081e+13,all L3,0
0.666681211577,9,5.4464852044e+13,5.4464852044e+13,1,-8,-5.4464852044e+13,all L3,0
0.666681682618,9,4.94984375581e+13,4.94984375581e+13,1,-8,-4.94984375581e+13,all L3,0
0.666682168913,9,4.49848908135e+13,4.49848908135e+13,1,-8,-4.49848908135e+13,all L3,0
0.666682670957,9,4.08829164741e+13,4.08829164741e+13,1,-8,-4.08829164741e+13,all L3,0
0.666683189261,9,3.71549847748e+13,3.71549847748e+13,1,-8,-3.71549847748e+13,all L3,0
0.666683724349,9,3.37669881632e+13,3.37669881632e+13,1,-8,-3.37669881632e+13,all L3,0
