g12,g13,g23,alpha,T1,T_alpha,W_alpha,W_over_T1,L3_cain,L3_frac
-6,-6,-2,0.75,49.3303027798,976.165320879,926.835018099,18.7883504838,-34.3303027798,-961.165320879
-6,-5.95,-2,0.75,49.1974218294,973.990985669,924.79356384,18.7976021802,-34.2474218294,-959.040985669
-6,-5.9,-2,0.75,49.0642422059,971.813356605,922.749114399,18.8069574279,-34.1642422059,-956.913356605
-6,-5.85,-2,0.75,48.930760657,969.632407484,920.701646827,18.8164180255,-34.080760657,-954.782407484
-6,-5.8,-2,0.75,48.7969738709,967.448111753,918.651137882,18.8259858144,-33.9969738709,-952.648111753
-6,-5.75,-2,0.75,48.6628784748,965.260442498,916.597564023,18.8356626807,-33.9128784748,-950.510442498
-6,-5.7,-2,0.75,48.5284710331,963.069372442,914.540901409,18.8454505559,-33.8284710331,-948.369372442
-6,-5.65,-2,0.75,48.3937480463,960.874873934,912.481125887,18.8553514188,-33.7437480463,-946.224873934
-6,-5.6,-2,0.75,48.2587059488,958.676918943,910.418212995,18.8653672968,-33.6587059488,-944.076918943
-6,-5.55,-2,0.75,48.1233411074,956.475479053,908.352137946,18.8755002675,-33.5733411074,-941.925479053
-6,-5.5,-2,0.75,47.9876498195,954.270525452,906.282875632,18.8857524601,-33.4876498195,-939.770525452
-6,-5.45,-2,0.75,47.8516283109,952.062028924,904.210400613,18.8961260573,-33.4016283109,-937.612028924
-6,-5.4,-2,0.75,47.7152727345,949.849959845,902.13468711,18.9066232971,-33.3152727345,-935.449959845
-6,-5.35,-2,0.75,47.5785791677,947.634288171,900.055709003,18.9172464741,-33.2285791677,-933.284288171
-6,-5.3,-2,0.75,47.4415436103,945.414983433,897.973439822,18.927997942,-33.1415436103,-931.114983433
-6,-5.25,-2,0.75,47.3041619831,943.192014724,895.887852741,18.9388801151,-33.0541619831,-928.942014724
-6,-5.2,-2,0.75,47.1664301247,940.965350694,893.798920569,18.9498954703,-32.9664301247,-926.765350694
-6,-5.15,-2,0.75,47.0283437897,938.73495954,891.70661575,18.9610465496,-32.8783437897,-924.58495954
-6,-5.1,-2,0.75,46.8898986466,936.500808995,889.610910349,18.972335962,-32.7898986466,-922.400808995
-6,-5.05,-2,0.75,46.7510902744,934.262866322,887.511776048,18.9837663857,-32.7010902744,-920.212866322
-6,-5,-2,0.75,46.611914161,932.0210983,885.409184139,18.9953405707,-32.611914161,-918.0210983
-6,-4.95,-2,0.75,46.4723656998,929.775471217,883.303105517,19.007061341,-32.5223656998,-915.825471217
-6,-4.9,-2,0.75,46.3324401875,927.525950858,881.19351067,19.0189315975,-32.4324401875,-913.625950858
-6,-4.85,-2,0.75,46.1921328208,925.272502495,879.080369674,19.0309543204,-32.3421328208,-911.422502495
-6,-4.8,-2,0.75,46.0514386934,923.015090878,876.963652185,19.0431325723,-32.2514386934,-909.215090878
-6,-4.75,-2,0.75,45.9103527933,920.75368022,874.843327427,19.0554695009,-32.1603527933,-907.00368022
-6,-4.7,-2,0.75,45.768869999,918.488234188,872.719364189,19.0679683419,-32.068869999,-904.788234188
-6,-4.65,-2,0.75,45.6269850768,916.21871589,870.591730813,19.0806324228,-31.9769850768,-902.56871589
-6,-4.6,-2,0.75,45.4846926767,913.945087866,868.460395189,19.0934651656,-31.8846926767,-900.345087866
-6,-4.55,-2,0.75,45.341987329,911.667312069,866.32532474,19.1064700904,-31.791987329,-898.117312069
-6,-4.5,-2,0.75,45.1988634405,909.38534986,864.186486419,19.1196508195,-31.6988634405,-895.88534986
-6,-4.45,-2,0.75,45.0553152909,907.099161988,862.043846697,19.1330110805,-31.6053152909,-893.649161988
-6,-4.4,-2,0.75,44.9113370281,904.808708581,859.897371553,19.146554711,-31.5113370281,-891.408708581
-6,-4.35,-2,0.75,44.7669226642,902.51394913,857.747026465,19.1602856623,-31.4169226642,-889.16394913
-6,-4.3,-2,0.75,44.6220660711,900.214842473,855.592776402,19.1742080037,-31.3220660711,-886.914842473
-6,-4.25,-2,0.75,44.4767609761,897.911346786,853.43458581,19.1883259275,-31.2267609761,-884.661346786
-6,-4.2,-2,0.75,44.3310009564,895.603419559,851.272418602,19.2026437535,-31.1310009564,-882.403419559
-6,-4.15,-2,0.75,44.1847794345,893.291017588,849.106238154,19.2171659341,-31.0347794345,-880.141017588
-6,-4.1,-2,0.75,44.0380896732,890.974096956,846.936007282,19.2318970593,-30.9380896732,-877.874096956
-6,-4.05,-2,0.75,43.8909247693,888.652613013,844.761688244,19.2468418627,-30.8409247693,-875.602613013
-6,-4,-2,0.75,43.7432776485,886.326520366,842.583242717,19.2620052271,-30.7432776485,-873.326520366
-6,-3.95,-2,0.75,43.5951410593,883.995772854,840.400631794,19.2773921904,-30.6451410593,-871.045772854
-6,-3.9,-2,0.75,43.4465075665,881.660323534,838.213815967,19.293007952,-30.5465075665,-868.760323534
-6,-3.85,-2,0.75,43.2973695446,879.320124661,836.022755116,19.30885788,-30.4473695446,-866.470124661
-6,-3.8,-2,0.75,43.1477191713,876.975127668,833.827408497,19.3249475178,-30.3477191713,-864.175127668
-6,-3.75,-2,0.75,42.9975484199,874.625283148,831.627734729,19.3412825915,-30.2475484199,-861.875283148
-6,-3.7,-2,0.75,42.8468490519,872.27054083,829.423691779,19.357869018,-30.1468490519,-859.57054083
-6,-3.65,-2,0.75,42.6956126092,869.910849561,827.215236952,19.3747129131,-30.0456126092,-857.260849561
-6,-3.6,-2,0.75,42.5438304056,867.54615728,825.002326874,19.3918206003,-29.9438304056,-854.94615728
-6,-3.55,-2,0.75,42.3914935183,865.176411,822.784917482,19.4091986197,-29.8414935183,-852.626411
-6,-3.5,-2,0.75,42.2385927786,862.801556782,820.562964003,19.4268537379,-29.7385927786,-850.301556782
-6,-3.45,-2,0.75,42.0851187624,860.421539709,818.336420946,19.444792958,-29.6351187624,-847.971539709
-6,-3.4,-2,0.75,41.9310617802,858.036303864,816.105242084,19.4630235305,-29.5310617802,-845.636303864
-6,-3.35,-2,0.75,41.7764118662,855.645792304,813.869380437,19.4815529645,-29.4264118662,-843.295792304
-6,-3.3,-2,0.75,41.6211587678,853.249947029,811.628788261,19.5003890398,-29.3211587678,-840.949947029
-6,-3.25,-2,0.75,41.4652919331,850.84870896,809.383417027,19.5195398198,-29.2152919331,-838.59870896
-6,-3.2,-2,0.75,41.308800499,848.442017907,807.133217408,19.5390136643,-29.108800499,-836.242017907
-6,-3.15,-2,0.75,41.1516732782,846.029812539,804.87813926,19.5588192446,-29.0016732782,-833.879812539
-6,-3.1,-2,0.75,40.9938987454,843.612030355,802.618131609,19.5789655576,-28.8938987454,-831.512030355
-6,-3.05,-2,0.75,40.8354650227,841.188607651,800.353142629,19.5994619428,-28.7854650227,-829.138607651
-6,-3,-2,0.75,40.6763598644,838.75947949,798.083119626,19.6203180984,-28.6763598644,-826.75947949
-6,-2.95,-2,0.75,40.5165706412,836.324579663,795.808009022,19.6415440998,-28.5665706412,-824.374579663
-6,-2.9,-2,0.75,40.3560843226,833.883840657,793.527756334,19.6631504184,-28.4560843226,-821.983840657
-6,-2.85,-2,0.75,40.194887459,831.437193617,791.242306158,19.6851479424,-28.344887459,-819.587193617
-6,-2.8,-2,0.75,40.0329661629,828.984568312,788.951602149,19.7075479978,-28.2329661629,-817.184568312
-6,-2.75,-2,0.75,39.8703060884,826.525893089,786.655587001,19.7303623719,-28.1203060884,-814.775893089
-6,-2.7,-2,0.75,39.7068924095,824.061094838,784.354202428,19.7536033377,-28.0068924095,-812.361094838
-6,-2.65,-2,0.75,39.5427097979,821.590098946,782.047389148,19.77728368,-27.8927097979,-809.940098946
-6,-2.6,-2,0.75,39.3777423984,819.112829257,779.735086858,19.8014167234,-27.7777423984,-807.512829257
-6,-2.55,-2,0.75,39.2119738032,816.629208022,777.417234218,19.8260163622,-27.6619738032,-805.079208022
-6,-2.5,-2,0.75,39.0453870249,814.139155854,775.093768829,19.8510970921,-27.5453870249,-802.639155854
-6,-2.45,-2,0.75,38.877964467,811.642591682,772.764627215,19.8766740442,-27.427964467,-800.192591682
-6,-2.4,-2,0.75,38.7096878931,809.139432692,770.429744799,19.9027630222,-27.3096878931,-797.739432692
