g12,g13,g23,alpha,T1,T_alpha,W_alpha,W_over_T1,L3_cain,L3_frac
-6,-6,0.5,0.9,35.9833147735,77.417328947,41.4340141735,1.15147852371,-23.4833147735,-64.917328947
-6,-5.95,0.5,0.9,35.8698381572,77.1826294503,41.3127912931,1.15174178127,-23.4198381572,-64.7326294503
-6,-5.9,0.5,0.9,35.7561327941,76.9475004456,41.1913676515,1.15200846492,-23.3561327941,-64.5475004456
-6,-5.85,0.5,0.9,35.6421961932,76.7119375754,41.0697413822,1.15227864073,-23.2921961932,-64.3619375754
-6,-5.8,0.5,0.9,35.5280258182,76.4759364078,40.9479105896,1.15255237651,-23.2280258182,-64.1759364078
-6,-5.75,0.5,0.9,35.4136190858,76.2394924346,40.8258733488,1.15282974185,-23.1636190858,-63.9894924346
-6,-5.7,0.5,0.9,35.2989733649,76.0026010697,40.7036277048,1.15311080818,-23.0989733649,-63.8026010697
-6,-5.65,0.5,0.9,35.1840859753,75.7652576469,40.5811716716,1.15339564882,-23.0340859753,-63.6152576469
-6,-5.6,0.5,0.9,35.0689541861,75.527457418,40.4585032319,1.15368433907,-22.9689541861,-63.427457418
-6,-5.55,0.5,0.9,34.9535752147,75.2891955509,40.3356203361,1.15397695624,-22.9035752147,-63.2391955509
-6,-5.5,0.5,0.9,34.8379462255,75.0504671273,40.2125209019,1.15427357978,-22.8379462255,-63.0504671273
-6,-5.45,0.5,0.9,34.7220643279,74.8112671409,40.0892028131,1.15457429128,-22.7720643279,-62.8612671409
-6,-5.4,0.5,0.9,34.6059265753,74.5715904947,39.9656639194,1.15487917459,-22.7059265753,-62.6715904947
-6,-5.35,0.5,0.9,34.4895299636,74.3314319989,39.8419020352,1.15518831591,-22.6395299636,-62.4814319989
-6,-5.3,0.5,0.9,34.3728714293,74.0907863685,39.7179149391,1.15550180382,-22.5728714293,-62.2907863685
-6,-5.25,0.5,0.9,34.255947848,73.849648221,39.5937003729,1.15581972943,-22.505947848,-62.099648221
-6,-5.2,0.5,0.9,34.1387560327,73.6080120734,39.4692560407,1.1561421864,-22.4387560327,-61.9080120734
-6,-5.15,0.5,0.9,34.021292732,73.3658723403,39.3445796083,1.15646927112,-22.371292732,-61.7158723403
-6,-5.1,0.5,0.9,33.9035546283,73.1232233302,39.219668702,1.15680108272,-22.3035546283,-61.5232233302
-6,-5.05,0.5,0.9,33.7855383358,72.8800592436,39.0945209079,1.15713772323,-22.2355383358,-61.3300592436
-6,-5,0.5,0.9,33.6672403987,72.6363741695,38.9691337708,1.15747929766,-22.1672403987,-61.1363741695
-6,-4.95,0.5,0.9,33.5486572891,72.3921620826,38.8435047935,1.15782591413,-22.0986572891,-60.9421620826
-6,-4.9,0.5,0.9,33.4297854047,72.1474168401,38.7176314354,1.15817768396,-22.0297854047,-60.7474168401
-6,-4.85,0.5,0.9,33.3106210667,71.9021321785,38.5915111119,1.15853472184,-21.9606210667,-60.5521321785
-6,-4.8,0.5,0.9,33.1911605176,71.6563017104,38.4651411927,1.15889714589,-21.8911605176,-60.3563017104
-6,-4.75,0.5,0.9,33.0713999188,71.4099189205,38.3385190017,1.15926507786,-21.8213999188,-60.1599189205
-6,-4.7,0.5,0.9,32.9513353479,71.1629771627,38.2116418148,1.15963864321,-21.7513353479,-59.9629771627
-6,-4.65,0.5,0.9,32.8309627964,70.9154696559,38.0845068595,1.16001797132,-21.6809627964,-59.7654696559
-6,-4.6,0.5,0.9,32.7102781669,70.6673894801,37.9571113132,1.16040319558,-21.6102781669,-59.5673894801
-6,-4.55,0.5,0.9,32.5892772704,70.4187295729,37.8294523026,1.16079445361,-21.5392772704,-59.3687295729
-6,-4.5,0.5,0.9,32.4679558231,70.1694827246,37.7015269015,1.16119188738,-21.4679558231,-59.1694827246
-6,-4.45,0.5,0.9,32.346309444,69.9196415745,37.5733321305,1.16159564341,-21.396309444,-58.9696415745
-6,-4.4,0.5,0.9,32.224333651,69.6691986058,37.4448649548,1.16200587297,-21.324333651,-58.7691986058
-6,-4.35,0.5,0.9,32.1020238582,69.4181461416,37.3161222835,1.16242273223,-21.2520238582,-58.5681461416
-6,-4.3,0.5,0.9,31.9793753723,69.1664763397,37.1871009675,1.16284638254,-21.1793753723,-58.3664763397
-6,-4.25,0.5,0.9,31.856383389,68.9141811875,37.0577977985,1.16327699055,-21.106383389,-58.1641811875
-6,-4.2,0.5,0.9,31.7330429893,68.6612524967,36.9282095074,1.16371472852,-21.0330429893,-57.9612524967
-6,-4.15,0.5,0.9,31.6093491358,68.4076818983,36.7983327625,1.16415977452,-20.9593491358,-57.7576818983
-6,-4.1,0.5,0.9,31.4852966683,68.1534608365,36.6681641681,1.16461231267,-20.8852966683,-57.5534608365
-6,-4.05,0.5,0.9,31.3608803001,67.8985805629,36.5377002628,1.16507253346,-20.8108803001,-57.3485805629
-6,-4,0.5,0.9,31.2360946131,67.6430321305,36.4069375174,1.16554063394,-20.7360946131,-57.1430321305
-6,-3.95,0.5,0.9,31.1109340535,67.3868063871,36.2758723336,1.16601681812,-20.6609340535,-56.9368063871
-6,-3.9,0.5,0.9,30.9853929268,67.1298939689,36.1445010422,1.16650129716,-20.5853929268,-56.7298939689
-6,-3.85,0.5,0.9,30.8594653928,66.8722852932,36.0128199004,1.16699428982,-20.5094653928,-56.5222852932
-6,-3.8,0.5,0.9,30.7331454607,66.6139705516,35.8808250909,1.16749602271,-20.4331454607,-56.3139705516
-6,-3.75,0.5,0.9,30.6064269829,66.3549397019,35.748512719,1.16800673071,-20.3564269829,-56.1049397019
-6,-3.7,0.5,0.9,30.4793036499,66.0951824608,35.6158788109,1.1685266573,-20.2793036499,-55.8951824608
-6,-3.65,0.5,0.9,30.3517689836,65.8346882953,35.4829193117,1.16905605505,-20.2017689836,-55.6846882953
-6,-3.6,0.5,0.9,30.2238163317,65.5734464143,35.3496300826,1.16959518595,-20.1238163317,-55.4734464143
-6,-3.55,0.5,0.9,30.0954388602,65.3114457593,35.2160068991,1.17014432196,-20.0454388602,-55.2614457593
-6,-3.5,0.5,0.9,29.9666295471,65.0486749956,35.0820454485,1.17070374542,-19.9666295471,-55.0486749956
-6,-3.45,0.5,0.9,29.8373811747,64.7851225018,34.9477413271,1.17127374961,-19.8873811747,-54.8351225018
-6,-3.4,0.5,0.9,29.707686322,64.5207763602,34.8130900382,1.17185463926,-19.807686322,-54.6207763602
-6,-3.35,0.5,0.9,29.5775373566,64.2556243455,34.6780869889,1.17244673114,-19.7275373566,-54.4056243455
-6,-3.3,0.5,0.9,29.446926426,63.9896539139,34.5427274879,1.17305035467,-19.646926426,-54.1896539139
-6,-3.25,0.5,0.9,29.3158454488,63.7228521912,34.4070067424,1.17366585257,-19.5658454488,-53.9728521912
-6,-3.2,0.5,0.9,29.1842861054,63.4552059605,34.2709198551,1.17429358153,-19.4842861054,-53.7552059605
-6,-3.15,0.5,0.9,29.0522398275,63.186701649,34.1344618214,1.17493391298,-19.4022398275,-53.536701649
-6,-3.1,0.5,0.9,28.9196977882,62.9173253147,33.9976275265,1.17558723385,-19.3196977882,-53.3173253147
-6,-3.05,0.5,0.9,28.7866508905,62.6470626323,33.8604117418,1.17625394738,-19.2366508905,-53.0970626323
-6,-3,0.5,0.9,28.6530897558,62.3758988774,33.7228091217,1.17693447405,-19.1530897558,-52.8758988774
-6,-2.95,0.5,0.9,28.5190047114,62.1038189118,33.5848142004,1.1776292525,-19.0690047114,-52.6538189118
-6,-2.9,0.5,0.9,28.3843857776,61.8308071661,33.4464213885,1.17833874055,-18.9843857776,-52.4308071661
-6,-2.85,0.5,0.9,28.2492226538,61.5568476227,33.3076249689,1.17906341626,-18.8992226538,-52.2068476227
-6,-2.8,0.5,0.9,28.1135047038,61.2819237974,33.1684190936,1.17980377911,-18.8135047038,-51.9819237974
-6,-2.75,0.5,0.9,27.9772209403,61.0060187198,33.0287977796,1.18056035123,-18.7272209403,-51.7560187198
-6,-2.7,0.5,0.9,27.8403600085,60.7291149134,32.8887549049,1.18133367869,-18.6403600085,-51.5291149134
-6,-2.65,0.5,0.9,27.7029101689,60.4511943737,32.7482842048,1.18212433297,-18.5529101689,-51.3011943737
-6,-2.6,0.5,0.9,27.5648592782,60.1722385457,32.6073792675,1.18293291246,-18.4648592782,-51.0722385457
