alpha,b,g=1-b,W_alpha,W_over_T1
0.7,0.001,0.999,4113.85261867,457094.735408
0.7,0.00105925372518,0.998940746275,4113.90094858,431530.326053
0.7,0.0011220184543,0.998877981546,4113.95214219,407395.967352
0.7,0.00118850222744,0.998811497773,4114.00636918,384611.663525
0.7,0.00125892541179,0.998741074588,4114.06380929,363101.893686
0.7,0.00133352143216,0.998666478568,4114.1246529,342795.36152
0.7,0.00141253754462,0.998587462455,4114.18910167,323624.758965
0.7,0.00149623565609,0.998503764344,4114.25736923,305526.543115
0.7,0.00158489319246,0.998415106808,4114.32968183,288440.725596
0.7,0.00167880401812,0.998321195982,4114.40627917,272310.673733
0.7,0.00177827941004,0.99822172059,4114.48741511,257082.922832
0.7,0.00188364908949,0.998116350911,4114.57335858,242706.998969
0.7,0.00199526231497,0.998004737685,4114.66439443,229135.251683
0.7,0.00211348903984,0.99788651096,4114.7608244,216322.696043
0.7,0.00223872113857,0.997761278861,4114.86296809,204226.863533
0.7,0.00237137370566,0.997628626294,4114.97116406,192807.661288
0.7,0.00251188643151,0.997488113568,4115.08577089,182027.239204
0.7,0.0026607250598,0.99733927494,4115.20716846,171849.864478
0.7,0.00281838293126,0.997181617069,4115.3357591,162241.803169
0.7,0.00298538261892,0.997014617381,4115.47196903,153171.208383
0.7,0.00316227766017,0.99683772234,4115.61624968,144608.014713
0.7,0.00334965439158,0.996650345608,4115.76907925,136523.838585
0.7,0.00354813389234,0.996451866108,4115.93096426,128891.884177
0.7,0.00375837404288,0.996241625957,4116.10244125,121686.854601
0.7,0.00398107170553,0.996018928294,4116.28407854,114884.868057
0.7,0.00421696503429,0.995783034966,4116.47647813,108463.378669
0.7,0.00446683592151,0.995533164078,4116.68027767,102401.101759
0.7,0.00473151258961,0.99526848741,4116.8961526,96677.9432963
0.7,0.00501187233627,0.994988127664,4117.12481837,91274.9332903
0.7,0.00530884444231,0.994691155558,4117.36703282,86174.1629164
0.7,0.0056234132519,0.994376586748,4117.62359869,81358.7251538
0.7,0.00595662143529,0.994043378565,4117.89536626,76812.6587454
0.7,0.0063095734448,0.993690426555,4118.18323619,72520.8952928
0.7,0.00668343917569,0.993316560824,4118.48816252,68469.2093107
0.7,0.00707945784384,0.992920542156,4118.81115576,64644.1710747
0.7,0.00749894209332,0.992501057907,4119.15328632,61033.1021076
0.7,0.00794328234724,0.992056717653,4119.51568802,57624.0331548
0.7,0.00841395141645,0.991586048584,4119.89956181,54405.6645114
0.7,0.00891250938134,0.991087490619,4120.30617982,51367.3285681
0.7,0.00944060876286,0.990559391237,4120.73688951,48498.9544521
0.7,0.01,0.99,4121.19311818,45791.0346464
0.7,0.0105925372518,0.989407462748,4121.67637764,43234.593476
0.7,0.011220184543,0.988779815457,4122.18826928,40821.1573573
0.7,0.0118850222744,0.988114977726,4122.73048933,38542.7267115
0.7,0.0125892541179,0.987410745882,4123.30483449,36391.749449
0.7,0.0133352143216,0.986664785678,4123.91320787,34361.0959375
0.7,0.0141253754462,0.985874624554,4124.55762531,32444.0353699
0.7,0.0149623565609,0.985037643439,4125.24022203,30634.2134544
0.7,0.0158489319246,0.984151068075,4125.9632597,28925.6313529
0.7,0.0167880401812,0.983211959819,4126.72913395,27312.6257966
0.7,0.0177827941004,0.9822172059,4127.54038226,25789.8503149
0.7,0.0188364908949,0.981163509105,4128.39969241,24352.2575141
0.7,0.0199526231497,0.98004737685,4129.30991131,22995.0823471
0.7,0.0211348903984,0.978865109602,4130.27405445,21713.8263191
0.7,0.0223872113857,0.977612788614,4131.29531591,20504.2425772
0.7,0.0237137370566,0.976286262943,4132.37707886,19362.3218334
0.7,0.0251188643151,0.974881135685,4133.5229268,18284.2790756
0.7,0.026607250598,0.973392749402,4134.73665538,17266.5410219
0.7,0.0281838293126,0.971816170687,4136.02228497,16305.7342764
0.7,0.0298538261892,0.970146173811,4137.38407397,15398.6741478
0.7,0.0316227766017,0.968377223398,4138.82653283,14542.3540934
0.7,0.0334965439158,0.966503456084,4140.35443902,13733.9357538
0.7,0.0354813389234,0.964518661077,4141.97285279,12970.7395445
0.7,0.0375837404288,0.962416259571,4143.68713389,12250.2357746
0.7,0.0398107170553,0.960189282945,4145.50295931,11570.0362614
0.7,0.0421696503429,0.957830349657,4147.42634199,10927.8864151
0.7,0.0446683592151,0.955331640785,4149.4636507,10321.6577651
