triple,regime,alpha,W_alpha,C_beta*(1-alpha),27/K^3+(9S-27)/K^2
no_pair_loops_111,alpha->1,0.9999999,6.52968126857e-06,6.52967770781e-06,27
no_pair_loops_111,alpha->1,0.999999873615,8.25252712566e-06,8.25252143995e-06,27
no_pair_loops_111,alpha->1,0.999999840269,1.04299434547e-05,1.04299343941e-05,27
no_pair_loops_111,alpha->1,0.999999798124,1.31818683204e-05,1.31818538383e-05,27
no_pair_loops_111,alpha->1,0.999999744859,1.66598854214e-05,1.66598622892e-05,27.0000000001
no_pair_loops_111,alpha->1,0.999999677541,2.10555739599e-05,2.10555370141e-05,27.0000000001
no_pair_loops_111,alpha->1,0.999999592461,2.6611061628e-05,2.66110026102e-05,27.0000000001
no_pair_loops_111,alpha->1,0.999999484932,3.36323621006e-05,3.36322678324e-05,27.0000000002
no_pair_loops_111,alpha->1,0.999999349032,4.25062318286e-05,4.25060812566e-05,27.0000000003
no_pair_loops_111,alpha->1,0.999999177276,5.37214749112e-05,5.37212344128e-05,27.0000000005
no_pair_loops_111,alpha->1,0.999998960202,6.78958697229e-05,6.78954855732e-05,27.0000000009
no_pair_loops_111,alpha->1,0.999998685853,8.58102010408e-05,8.58095874284e-05,27.0000000014
no_pair_loops_111,alpha->1,0.999998339117,0.000108451273007,0.000108450292868,27.0000000022
no_pair_loops_111,alpha->1,0.999997900896,0.000137066273325,0.000137064707745,27.0000000035
no_pair_loops_111,alpha->1,0.999997347052,0.0001732314853,0.000173228984575,27.0000000056
no_pair_loops_111,alpha->1,0.999996647076,0.000218939135292,0.000218935140846,27.000000009
no_pair_loops_111,alpha->1,0.999995762413,0.000276707164728,0.000276700784321,27.0000000144
no_pair_loops_111,alpha->1,0.999994644333,0.000349717980567,0.000349707789015,27.0000000229
no_pair_loops_111,alpha->1,0.99999323125,0.000441993839896,0.000441977560699,27.0000000366
no_pair_loops_111,alpha->1,0.999991445327,0.000558618549,0.000558592545825,27.0000000585
no_pair_loops_111,alpha->1,0.999989188192,0.00070601772085,0.00070597618521,27.0000000935
no_pair_loops_111,alpha->1,0.999986335517,0.000892313079273,0.000892246732995,27.0000001493
no_pair_loops_111,alpha->1,0.999982730167,0.00112777040757,0.00112766443007,27.0000002384
no_pair_loops_111,alpha->1,0.999978173553,0.00142536594623,0.00142519666346,27.0000003808
no_pair_loops_111,alpha->1,0.999972414684,0.00180150264669,0.00180123224194,27.0000006083
no_pair_loops_111,alpha->1,0.999965136348,0.00227691606761,0.00227648413204,27.0000009717
no_pair_loops_111,alpha->1,0.999955937636,0.00287782034502,0.00287713037929,27.0000015521
no_pair_loops_111,alpha->1,0.99994431186,0.00363735821023,0.00363625605947,27.0000024792
no_pair_loops_111,alpha->1,0.999929618644,0.00459743628636,0.00459567568617,27.00000396
no_pair_loops_111,alpha->1,0.99991104865,0.00581104893032,0.00580823645724,27.0000063254
no_pair_loops_111,alpha->1,0.999887578996,0.00734522210074,0.0073407292087,27.0000101037
no_pair_loops_111,alpha->1,0.999857916917,0.00928474496828,0.00927756741864,27.0000161387
no_pair_loops_111,alpha->1,0.999820428551,0.0117369037132,0.0117254369097,27.0000257786
no_pair_loops_111,alpha->1,0.999773048946,0.0148374925029,0.0148191723669,27.0000411765
no_pair_loops_111,alpha->1,0.999713168319,0.018758455563,0.0187291843649,27.0000657718
no_pair_loops_111,alpha->1,0.999637488295,0.0237176178502,0.023670846002,27.0001050582
no_pair_loops_111,alpha->1,0.999541840233,0.0299910989731,0.0299163561815,27.000167811
no_pair_loops_111,alpha->1,0.999420955602,0.0379291883578,0.0378097329983,27.0002680472
no_pair_loops_111,alpha->1,0.999268175778,0.0479767076104,0.0477857631034,27.0004281567
no_pair_loops_111,alpha->1,0.999075085272,0.0606992258014,0.0603939508241,27.0006839041
no_pair_loops_111,alpha->1,0.998831048184,0.0768169658821,0.0763287862171,27.0010924189
no_pair_loops_111,alpha->1,0.998522622347,0.0972489082671,0.0964679992926,27.0017449611
no_pair_loops_111,alpha->1,0.998132818909,0.123170558429,0.121920907547,27.0027873165
no_pair_loops_111,alpha->1,0.997640166533,0.156090254182,0.154089519903,27.0044523903
no_pair_loops_111,alpha->1,0.997017528714,0.197950996219,0.19474576282,27.0071123053
no_pair_loops_111,alpha->1,0.996230609025,0.251268007103,0.24612908237,27.0113617146
no_pair_loops_111,alpha->1,0.99523606199,0.31931725948,0.311069798443,27.0181511206
no_pair_loops_111,alpha->1,0.993979105507,0.406398274616,0.393145005749,27.0290004463
no_pair_loops_111,alpha->1,0.992390503315,0.518207726727,0.496875609008,27.0463417579
no_pair_loops_111,alpha->1,0.990382751289,0.662382726815,0.627975345527,27.0740707495
no_pair_loops_111,alpha->1,0.987845257499,0.849311527819,0.793665511931,27.1184380089
no_pair_loops_111,alpha->1,0.984638250533,1.09337935938,1.00307273099,27.1894992858
no_pair_loops_111,alpha->1,0.980585080543,1.41494798601,1.26773166847,27.3035006991
no_pair_loops_111,alpha->1,0.975462488934,1.8436234646,1.602220391,27.4868668013
no_pair_loops_111,alpha->1,0.968988310734,2.42389305631,2.02496336187,27.783037419
no_pair_loops_111,alpha->1,0.960805932252,3.22536239106,2.5592463059,28.2646297331
no_pair_loops_111,alpha->1,0.95046464791,4.36252213178,3.23449884458,29.0562494916
no_pair_loops_111,alpha->1,0.93739483428,6.03587250864,4.08791555212,30.3805137298
no_pair_loops_111,alpha->1,0.92087657381,8.62585691666,5.16650472429,32.6603715297
no_pair_loops_111,alpha->1,0.9,12.9349677272,6.52967771124,36.7773889797
no_pair_loops_111,alpha->2/3,0.666666766667,1.67583934887e+20,21.7655858411,1.67583934887e+20
no_pair_loops_111,alpha->2/3,0.666666793051,8.30132980426e+19,21.7655841183,8.30132980426e+19
no_pair_loops_111,alpha->2/3,0.666666826398,4.11209330733e+19,21.7655819409,4.11209330733e+19
no_pair_loops_111,alpha->2/3,0.666666868543,2.03694013466e+19,21.765579189,2.03694013467e+19
no_pair_loops_111,alpha->2/3,0.666666921807,1.00900561354e+19,21.7655757109,1.00900561354e+19
no_pair_loops_111,alpha->2/3,0.666666989126,4.9981457518e+18,21.7655713153,4.99814575181e+18
no_pair_loops_111,alpha->2/3,0.666667074206,2.47584966965e+18,21.7655657598,2.47584966965e+18
no_pair_loops_111,alpha->2/3,0.666667181734,1.2264212091e+18,21.7655587385,1.22642120911e+18
no_pair_loops_111,alpha->2/3,0.666667317634,6.07512288634e+17,21.7655498647,6.07512288637e+17
no_pair_loops_111,alpha->2/3,0.666667489391,3.00933491861e+17,21.7655386496,3.00933491863e+17
no_pair_loops_111,alpha->2/3,0.666667706465,1.49068552715e+17,21.7655244753,1.49068552717e+17
no_pair_loops_111,alpha->2/3,0.666667980814,7.384168757e+16,21.7655065612,7.38416875713e+16
no_pair_loops_111,alpha->2/3,0.666668327549,3.65777744275e+16,21.7654839205,3.65777744285e+16
no_pair_loops_111,alpha->2/3,0.66666876577,1.81189509552e+16,21.7654553061,1.8118950956e+16
no_pair_loops_111,alpha->2/3,0.666669319615,8.97529967315e+15,21.7654191418,8.97529967377e+15
no_pair_loops_111,alpha->2/3,0.666670019591,4.44595476128e+15,21.7653734357,4.44595476178e+15
no_pair_loops_111,alpha->2/3,0.666670904254,2.20232464545e+15,21.76531567,2.20232464584e+15
no_pair_loops_111,alpha->2/3,0.666672022334,1.09093258575e+15,21.765242663,1.09093258605e+15
no_pair_loops_111,alpha->2/3,0.666673435417,5.4039937499e+14,21.7651503932,5.40399375234e+14
no_pair_loops_111,alpha->2/3,0.666675221339,2.67690033759e+14,21.7650337783,2.67690033952e+14
no_pair_loops_111,alpha->2/3,0.666677478474,1.32602015011e+14,21.7648863946,1.32602015164e+14
no_pair_loops_111,alpha->2/3,0.66668033115,6.56853847957e+13,21.7647001241,6.56853849167e+13
no_pair_loops_111,alpha->2/3,0.6666839365,3.2537805781e+13,21.7644647064,3.25378058768e+13
no_pair_loops_111,alpha->2/3,0.666688493114,1.61179164606e+13,21.7641671741,1.61179165364e+13
no_pair_loops_111,alpha->2/3,0.666694251983,7.98419175631e+12,21.7637911386,7.98419181628e+12
no_pair_loops_111,alpha->2/3,0.666701530319,3.95507580965e+12,21.7633158867,3.9550758571e+12
no_pair_loops_111,alpha->2/3,0.666710729031,1.95920975482e+12,21.7627152404,1.95920979237e+12
no_pair_loops_111,alpha->2/3,0.666722354807,970532143728,21.7619561148,970532173441
no_pair_loops_111,alpha->2/3,0.666737048022,480775730260,21.7609966951,480775753773
no_pair_loops_111,alpha->2/3,0.666755618016,238165980776,21.7597841344,238165999383
no_pair_loops_111,alpha->2/3,0.66677908767,117983888554,21.7582516416,117983903279
no_pair_loops_111,alpha->2/3,0.66680874975,58448449660.2,21.7563148034,58448461313.7
no_pair_loops_111,alpha->2/3,0.666846238116,28955597197,21.7538669339,28955606420.3
no_pair_loops_111,alpha->2/3,0.66689361772,14345105040.8,21.7507731984,14345112341.1
no_pair_loops_111,alpha->2/3,0.666953498348,7107055243.64,21.7468631864,7107061022.54
no_pair_loops_111,alpha->2/3,0.667029178372,3521229149.53,21.7419215248,3521233724.61
no_pair_loops_111,alpha->2/3,0.667124826434,1744706711.82,21.7356760146,1744710334.39
no_pair_loops_111,alpha->2/3,0.667245711065,864530497.083,21.7277826378,864533365.996
