beta12,beta13,beta23,k,one_minus_alpha,T1,C_beta,T_alpha,rate_(T-T1)/(1-alpha),rel_err_vs_C,D_estimate
1.0,1.0,1.0,2,1e-2,9.0,65.2967771124318426213868172751,9.690237805515878583536363366182044632948,69.0237805515878583536363366182,0.057077908,372.70034391560157322
1.0,1.0,1.0,3,1e-3,9.0,65.2967771124318426213868172751,9.065653754897469242280634085618332128216,65.6537548974692422806340856183,0.0054670047,356.97778503739965925
1.0,1.0,1.0,4,1e-4,9.0,65.2967771124318426213868172751,9.006533232434381667569862533527168826875,65.3323243438166756986253352717,0.00054439488,355.47231384833077239
1.0,1.0,1.0,5,1e-5,9.0,65.2967771124318426213868172751,9.000653003303365071789972535570189811925,65.300330336507178997253557019,5.4416531e-5,355.32240753363758667
1.0,1.0,1.0,6,1e-6,9.0,65.2967771124318426213868172751,9.00006529713241985512684137269710355696,65.2971324198551268413726971036,5.4414236e-6,355.30742328421998588
1.0,1.0,1.0,7,1e-7,9.0,65.2967771124318426213868172751,9.000006529681264302433492867219955646604,65.2968126430243349286721995565,5.4414006e-7,355.30592492307285382
1.0,1.0,1.0,8,1e-8,9.0,65.2967771124318426213868172751,9.000000652967806654895934973474274578051,65.2967806654895934973474274578,5.4413983e-8,355.30577508759606102
1.0,1.0,1.0,9,1e-9,9.0,65.2967771124318426213868172751,9.000000065296777467737602725441578191065,65.2967774677376027254415781911,5.4413981e-9,355.30576010405476092
1.0,1.0,1.0,10,1e-10,9.0,65.2967771124318426213868172751,9.000000006529677714796241848195688674486,65.2967771479624184819568867449,5.4413981e-10,355.3057586057006947
0.5,0.5,0.5,2,1e-2,4.5,40.4003196500987190096371453296,4.929710160602419248898513770317973024279,42.9710160602419248898513770318,0.063630596,257.06964101432058802
0.5,0.5,0.5,3,1e-3,4.5,40.4003196500987190096371453296,4.540645820192909100524823423530149405241,40.6458201929091005248234235301,0.006076698,245.50054281038151519
0.5,0.5,0.5,4,1e-4,4.5,40.4003196500987190096371453296,4.504042475914962303022953753357785783233,40.4247591496230302295375335779,0.00060493332,244.394995243112199
0.5,0.5,0.5,5,1e-5,4.5,40.4003196500987190096371453296,4.500404027624994248041807893469116638201,40.4027624994248041807893469117,6.0466089e-5,244.28493260851711522
0.5,0.5,0.5,6,1e-6,4.5,40.4003196500987190096371453296,4.500040400563924029964646796005350402002,40.4005639240299646467960053504,6.0463366e-6,244.27393124563715886
0.5,0.5,0.5,7,1e-7,4.5,40.4003196500987190096371453296,4.500004040034407738183484307709864294886,40.4003440773818348430770986429,6.0463094e-7,244.27283115833439953
0.5,0.5,0.5,8,1e-8,4.5,40.4003196500987190096371453296,4.500000404003220928259305105766994551193,40.4003220928259305105766994551,6.0463066e-8,244.27272115009395541
0.5,0.5,0.5,9,1e-9,4.5,40.4003196500987190096371453296,4.500000040400319894371429158911954627697,40.4003198943714291589119546277,6.0463064e-9,244.2727101492748093
0.5,0.5,0.5,10,1e-10,4.5,40.4003196500987190096371453296,4.500000004040031967452598991455643969659,40.4003196745259899145564396966,6.0463063e-10,244.27270904919294367
3.0,3.0,3.0,2,1e-2,27.0,169.646003293848834876982742697,28.78003564937232878741397084838787274402,178.003564937232878741397084839,0.049264713,835.75616433840438644
3.0,3.0,3.0,3,1e-3,27.0,169.646003293848834876982742697,27.1704489433177277965155876608162884114,170.448943317727796515587660816,0.0047330324,802.9400238789616386
3.0,3.0,3.0,4,1e-4,27.0,169.646003293848834876982742697,27.01697259819853719974200197534220864957,169.725981985371997420019753422,0.0004714446,799.78691523162543037
3.0,3.0,3.0,5,1e-5,27.0,169.646003293848834876982742697,27.00169653998022248138182788305445526325,169.653998022248138182788305446,4.7125946e-5,799.47283993033058056
3.0,3.0,3.0,6,1e-6,27.0,169.646003293848834876982742697,27.00016964680273529354304935658008283207,169.646802735293543049356580083,4.7124095e-6,799.44144470817237384
3.0,3.0,3.0,7,1e-7,27.0,169.646003293848834876982742697,27.0000169646083237679365775860636541015,169.646083237679365775860636541,4.712391e-7,799.43830530898877894
3.0,3.0,3.0,8,1e-8,27.0,169.646003293848834876982742697,27.00000169646011288228748579989685065195,169.646011288228748579989685065,4.7123892e-8,799.43799137030069424
3.0,3.0,3.0,9,1e-9,27.0,169.646003293848834876982742697,27.00000016964600409328679485342693116416,169.646004093286794853426931164,4.712389e-9,799.43795997644418847
3.0,3.0,3.0,10,1e-10,27.0,169.646003293848834876982742697,27.00000001696460033737926305606886087888,169.646003373792630560688608789,4.712389e-10,799.43795683705866092
0.3,2.0,5.0,2,1e-2,17.6232384016029035162667773235,121.756613599956488013141402235,18.9050680496057052630769348581142400619,128.182964800280174681015753463,0.052780305,642.63512003236866679
0.3,2.0,5.0,3,1e-3,17.6232384016029035162667773235,121.756613599956488013141402235,17.74561150869810346011170473683639308341,122.373107095199943844927413352,0.0050633266,616.49349524345583179
0.3,2.0,5.0,4,1e-4,17.6232384016029035162667773235,121.756613599956488013141402235,17.63542020280270523136795602091432114124,121.8180119980171510117869743,0.00050427156,613.98398060662998646
0.3,2.0,5.0,5,1e-5,17.6232384016029035162667773235,121.756613599956488013141402235,17.62445602911230648754533424934071326365,121.762750940297127855692585642,5.0406628e-5,613.73403406398425512
0.3,2.0,5.0,6,1e-6,17.6232384016029035162667773235,121.756613599956488013141402235,17.62336015883021252217370532878068213146,121.757227309005906928005296394,5.0404576e-6,613.70904941891486389
0.3,2.0,5.0,7,1e-7,17.6232384016029035162667773235,121.756613599956488013141402235,17.62325057727040057742612323772350547646,121.756674970611593459142392172,5.0404371e-7,613.7065510544600099
0.3,2.0,5.0,8,1e-8,17.6232384016029035162667773235,121.756613599956488013141402235,17.62323961916910088646177935639886058103,121.756619737019500203291457228,5.040435e-8,613.7063012190150055
0.3,2.0,5.0,9,1e-9,17.6232384016029035162667773235,121.756613599956488013141402235,17.6232385233595177299295415721062003682,121.756614213662764248621912064,5.0404348e-9,613.70627623548050983
0.3,2.0,5.0,10,1e-10,17.6232384016029035162667773235,121.756613599956488013141402235,17.62323841377856488239948886216970013035,121.756613661327115386854118266,5.0404348e-10,613.70627373712716031
100.0,0.01,1.0,2,1e-2,123.21,1405.78760959730481214272729313,134.7849218252525534388775542826151387874,1157.49218252525534388775542826,0.17662371,-24829.542707204946825
100.0,0.01,1.0,3,1e-3,123.21,1405.78760959730481214272729313,124.5563083683433582986607277737622804033,1346.30836834335829866072777376,0.042310261,-59479.241253946513482
100.0,0.01,1.0,4,1e-4,123.21,1405.78760959730481214272729313,123.3498910380744636446397331173257428808,1398.91038074463644639733117326,0.0048920824,-68772.288526683657454
100.0,0.01,1.0,5,1e-5,123.21,1405.78760959730481214272729313,123.2240508901091277589632628882515640487,1405.08901091277589632628882516,0.00049694469,-69859.868452891581644
100.0,0.01,1.0,6,1e-6,123.21,1405.78760959730481214272729313,123.2114057176391374540806869838626081347,1405.71763913745408068698386261,4.9773137e-5,-69970.459850731455743
100.0,0.01,1.0,7,1e-7,123.21,1405.78760959730481214272729313,123.2101405780611443544248078536869869934,1405.78061144354424807853686987,4.9781018e-6,-69981.537605640641904
