mode,status,strictP,class,mismatch,kappa,T1,T_alpha,gap_cain,gap_frac,direct_min_margin_alpha,direct_min_margin_alpha1,float_err_est,X,Y,Z,s,a,K,r,m,q1,q2,h,e1,e2,e3,mu1,mu2,c1,c2
lognormal:0.02,feasible,True,classical,False,18.19602586449933,18.1960367037955,39.967458450012764,-5.956954444163998e-07,-0.5447289727652542,0.1570797787498086,1.4607031895153e-07,1.4617974759526058e-15,1.016314523906751,0.03581686786813046,0.0021457466817855512,0.0480009307694744,0.50445513701135591,1.1236080035100562,0.10689823003485881,0.19937182324404451,0.070898492724129611,1.3720769617959154,0.072642424287494026,0.48165860087631268,0.0012864652991680635,0.50557760250702288,0.032757715679738064,0.0030011431626763467,0.050043555799412109,0.0504288227571279
m_sweep,feasible,True,frac_only,False,18.201674077838234,18.20165640715983,39.97859510381937,9.70828039292826e-07,-0.5447145145903507,0.15707939461607556,-2.380634140930482e-07,1.461570025274421e-15,1.0111878137419832,0.040706625994178985,0.002398746487467294,0.04688584040785398,0.51087629574537985,1.1348556736900115,0.1077655278524149,0.20177378352976516,0.071209382432310675,1.3950313776116172,0.071475953562243191,0.47984467090703847,0.0012549862365929647,0.4944204321466984,0.032293095402395021,0.0030905797652724738,0.051273616841645178,0.0493136211787518
lognormal:0.02,feasible,True,classical,False,17.796636790923344,17.796696415966196,39.17658878344135,-3.350343314112436e-06,-0.5457328638463441,0.15708045237836354,8.196988738884414e-07,1.4782580102542158e-15,0.9964382156656865,0.042212187147716386,0.0017822604158250523,0.04895830865336568,0.506430967794261,1.1019780838467927,0.10858476533540874,0.20011141675241531,0.072564389914723679,1.3731395268029645,0.068510016372255136,0.49855188691152708,0.0011926831433593922,0.4987484037676494,0.033775185054307807,0.002987195044220568,0.050956153640884218,0.048843237710747403
lognormal:0.02,feasible,True,frac_only,False,18.413399703581145,18.41329077220647,40.39909324410123,5.915910199050245e-06,-0.5442125497143495,0.1570781804196828,-1.4522598068555936e-06,1.4532819958147673e-15,0.992756186070758,0.041456988523676006,0.0034173405999543055,0.04708536436602481,0.50066342914285111,1.1431104792402702,0.11131666846455544,0.20010672634088,0.072169041005005694,1.3985354687379457,0.072182489139274761,0.49218040393362911,0.001279384209022377,0.46938196639509272,0.03298073362741822,0.0030075882681594589,0.049098605973448332,0.050719450221236861
lognormal:0.1,feasible,True,classical,False,18.770673311081048,18.77078697906592,41.125181014153966,-6.055579076180706e-06,-0.5435722628279549,0.15708112121936613,1.4885398764707958e-06,1.4429039106777484e-15,1.066452601103483,0.02417019379688162,0.0018008410914370392,0.04179364141658184,0.58970368828651265,1.1697908230060241,0.10109581916772552,0.21530756520996031,0.075717952525450549,1.5324083218663231,0.069060585865945101,0.46863091838768006,0.0012344992935049461,0.46415670823805144,0.036371818247861364,0.0026996849207153628,0.055670935358096856,0.051397213772839546
m_sweep,feasible,True,classical,False,17.793626223447202,17.793734535202272,39.17041604572799,-6.087072663474302e-06,-0.5457381355695912,0.15708112194132862,1.4892618389605872e-06,1.4783135669162953e-15,0.9717545291835443,0.03885164564671852,0.0018395329771574143,0.053710391497878374,0.49510317135526116,1.0657262742854812,0.11139966974974631,0.17510236414843566,0.069812047288448045,1.4256141133364888,0.070552515902220544,0.5126512227389276,0.0012618543464751912,0.51300081226596395,0.032711277529045561,0.0030632195412588752,0.049863692315716225,0.049503604936602608
lognormal:0.1,feasible,True,classical,False,18.40400334004339,18.404122260660895,40.409282878446554,-6.461629401433022e-06,-0.5445600112379205,0.15708121755705196,1.5848775622995248e-06,1.4598220436238664e-15,1.1262101727416718,0.04855621812255835,0.0023811404267586227,0.04328685360866048,0.6629539324708742,1.2735962393422517,0.1173216954190989,0.21329166297666891,0.068922566167539778,1.5039067334541982,0.061187015860493216,0.51123990237687877,0.0012904116647985539,0.50032047518971534,0.036744005790948567,0.0035636150051152559,0.057529247427389518,0.04553777921889849
lognormal:0.1,feasible,True,classical,False,17.90447965030421,17.904611732303483,39.39992232106009,-7.3769820450042545e-06,-0.545570686550976,0.15708143813872155,1.8054592318961227e-06,1.4758898499452217e-15,1.025974852820573,0.06732861950444136,0.0030739312009788996,0.04357125622566725,0.54567821709071851,1.2068861333672245,0.11614785265453731,0.22562984079599421,0.070698896334790512,1.3357519577456654,0.059986732140552064,0.52015396100427302,0.001219045476260953,0.49308464528813339,0.033953648395882989,0.0035247704642852313,0.053342468999093645,0.044682165637252247
lognormal:0.02,feasible,True,classical,False,18.003137133981685,18.003311613104138,39.585877851245705,-9.691501552722137e-06,-0.5452131388463031,0.15708200661194271,2.3739324530591688e-06,1.4697198361661494e-15,1.0174586960464513,0.033329305493662434,0.0013922896709761346,0.05052921109338051,0.49493500719398026,1.0977527876414088,0.10767287416579743,0.20136912396002227,0.069063163970042446,1.3990429990125943,0.072883509148523901,0.50228030275907642,0.0012860169781151001,0.50778657119254544,0.033535229978285522,0.0029933997585118535,0.049745646476753363,0.050778246962750517
lognormal:0.1,feasible,True,classical,False,18.339795223374256,18.339976369090074,40.260440551140626,-9.87709646793622e-06,-0.5444710745259178,0.157082055980158,2.4233006683527236e-06,1.4576756645169852e-15,0.9266762946405792,0.05029897474303282,0.00738944890334691,0.04508092000515657,0.50911405353801142,1.1925124948715324,0.12962200433691159,0.19991805614704,0.072201395558761747,1.4878584910153987,0.063714471622158333,0.46555864208562009,0.0013196993023837165,0.53272512714342746,0.028340180173647794,0.0031080519552809274,0.046487763300723434,0.056670499369078635
