beta12,beta13,beta23,alpha,certified,L,U,rel_width,T1,boxes,seconds
1,1,1,0.7,True,4935.488727323178038696479026514598,4935.488727323178038696479026514598,5.5827e-39,9.0,457,0.2
1,1,1,0.8,True,96.715494146741627374278386144364621,96.715494146741627374278386144364621,1.3977e-39,9.0,545,0.25
1,1,1,0.9,True,21.934967727204405243819593870570396,21.934967727204405243819593870570396,1.1053e-39,9.0,779,0.47
1,1,1,0.95,True,13.417220438733938905204320193454135,13.417220438733938905204320193454135,9.4455e-40,9.0,869,0.42
1,1,1,0.99,True,9.6902378055158785835363633661820446,9.6902378055158785835363633661820446,6.4444e-40,9.0,1007,0.5
1,1,1,0.999,True,9.0656537548974692422806340856183321,9.0656537548974692422806340856183321,7.6988e-40,9.0,1071,0.57
0.5,0.5,0.5,0.7,True,4524.6490841855026162165339940246776,4524.6490841855026162165339940246776,5.383e-39,4.5000000000000008881784197001252323,403,0.23
0.5,0.5,0.5,0.8,True,70.611742648920631347422180807165391,70.611742648920631347422180807165391,1.2902e-39,4.5000000000000008881784197001252323,495,0.28
0.5,0.5,0.5,0.9,True,13.13466105309402924522903577486896,13.13466105309402924522903577486896,1.1187e-39,4.5000000000000008881784197001252323,643,0.32
0.5,0.5,0.5,0.95,True,7.3268464527188059645394876420345251,7.3268464527188059645394876420345251,9.0246e-40,4.5000000000000008881784197001252323,807,0.4
0.5,0.5,0.5,0.99,True,4.929710160602419248898513770317973,4.929710160602419248898513770317973,6.7064e-40,4.5000000000000008881784197001252323,987,0.54
0.5,0.5,0.5,0.999,True,4.5406458201929091005248234235301494,4.5406458201929091005248234235301494,7.8878e-40,4.5000000000000008881784197001252323,1089,0.75
2,2,2,0.7,True,5757.6557562610293279030140398704609,5757.6557562610293279030140398704609,5.7655e-39,18.000000000000003552713678800500929,489,0.3
2,2,2,0.8,True,149.07383241680799237506932253915508,149.07383241680799237506932253915508,1.3799e-39,18.000000000000003552713678800500929,637,0.46
2,2,2,0.9,True,39.57857204310837394101574510846618,39.57857204310837394101574510846618,1.0395e-39,18.000000000000003552713678800500929,841,0.41
2,2,2,0.95,True,25.616051364060140928136035751984646,25.616051364060140928136035751984646,9.0344e-40,18.000000000000003552713678800500929,931,0.44
2,2,2,0.99,True,19.214699688906241405314380030491899,19.214699688906241405314380030491899,6.3089e-40,18.000000000000003552713678800500929,1037,0.63
2,2,2,0.999,True,18.116009425647608444426436849118135,18.116009425647608444426436849118135,6.8942e-40,18.000000000000003552713678800500929,1063,0.6
0.3,2,5,0.7,True,6038.0399279661524913159491209146838,6038.0399279661524913159491209146838,5.7626e-39,17.623238401602907998722002957947552,573,0.3
0.3,2,5,0.8,True,158.02542948888438414406299177124265,158.02542948888438414406299177124265,1.3761e-39,17.623238401602907998722002957947552,1507,0.93
0.3,2,5,0.9,True,40.54464925896569618333404148135218,40.54464925896569618333404148135218,9.785e-40,17.623238401602907998722002957947552,2975,1.97
0.3,2,5,0.95,True,25.679682456559978892569275007542199,25.679682456559978892569275007542199,8.4398e-40,17.623238401602907998722002957947552,4289,2.76
0.3,2,5,0.99,True,18.90506804960570526307693485811424,18.90506804960570526307693485811424,5.4406e-40,17.623238401602907998722002957947552,5475,3.51
0.3,2,5,0.999,True,17.745611508698103460111704736836393,17.745611508698103460111704736836393,7.4522e-40,17.623238401602907998722002957947552,5967,3.9
100,0.01,1,0.7,True,22522.717386903303844098112819330816,22522.717386903303844098112819330816,6.2797e-39,123.20999999999999374722392531111836,1553,0.92
100,0.01,1,0.8,True,981.10594158176147787681417928221767,981.10594158176147787681417928221767,1.5096e-39,123.20999999999999374722392531111836,3695,2.29
100,0.01,1,0.9,True,283.06718137762202677322119241607324,283.06718137762202677322119241607324,1.1835e-39,123.20999999999999374722392531111836,7229,4.74
100,0.01,1,0.95,True,183.58041233236484131974690471253184,183.58041233236484131974690471253184,9.2846e-40,123.20999999999999374722392531111836,12583,6.88
100,0.01,1,0.99,True,134.78492182525255343887755428261514,134.78492182525255343887755428261514,7.8491e-40,123.20999999999999374722392531111836,45781,23.08
