rank,regime,beta12,beta13,beta23,alpha,T,x1,x2,x3,float_err_dT_b12,float_err_dT_b13,float_err_dT_b23,float_err_dT_alpha,float_err_dx_max,hess_min_eig,hess_cond,hp_err_dT_b12,hp_err_dT_b13,hp_err_dT_b23,hp_err_dT_alpha,hp_err_euler,dx1_dalpha_fd,dx2_dalpha_fd,dx3_dalpha_fd
0,near_23,1.234041516,0.02196941772,4.14210021,0.666666826772,4.08330545795e+19,0.3333335601,0.3333331613,0.3333332786,6.81e-06,0.000299,1.78e-06,2.76e-07,4.93e-05,0.3333,3,3.25e-36,1.92e-33,2.19e-36,1.75e-28,1.69e-39,1.41641,-1.07462,-0.341796
1,near_23,0.04544394662,0.8805805232,1.611607511,0.666666769749,1.52994482966e+20,0.3333333811,0.3333333355,0.3333332834,0.000205,8.32e-06,1.36e-06,1.93e-07,2.18e-05,0.3333,3,1.13e-33,3.81e-35,2.33e-35,1.75e-28,1.09e-39,0.46296,0.0209816,-0.483942
2,near_23,0.2180127285,0.04342937873,2.402870308,0.666666804127,6.45207795362e+19,0.3333334592,0.3333332631,0.3333332776,1.36e-05,0.000194,2.15e-07,3.29e-07,2.06e-05,0.3333,3,9.07e-35,1.87e-34,1.13e-35,1.75e-28,1.85e-39,0.915827,-0.51069,-0.405137
3,near_23,0.4252714834,0.2861852321,0.01271888139,0.666667034983,3.35405058759e+18,0.3333332824,0.3333333433,0.3333333743,1.14e-07,6.46e-06,0.000185,2.8e-07,1.09e-05,0.3333,3,2.31e-35,3.59e-36,2.9e-34,1.75e-28,7.35e-41,-0.138256,0.0270821,0.111174
4,near_23,0.6806669279,2.553839588,0.1418399669,0.666666869259,2.01539734763e+19,0.3333332129,0.3333335083,0.3333332789,7.05e-06,3.65e-06,0.000119,2.8e-07,3.51e-06,0.3333,3,1.64e-35,2.65e-36,5.39e-35,1.75e-28,1.19e-40,-0.594689,0.863604,-0.268915
5,near_23,0.2298361466,2.747802863,0.4082565152,0.66666676889,1.5688455669e+20,0.3333332888,0.3333334334,0.3333332778,0.000115,5.63e-07,5.58e-06,2.84e-07,4.42e-06,0.3333,3,3.41e-34,1.17e-35,8.55e-35,1.75e-28,2.79e-40,-0.435539,0.97895,-0.543412
6,near_23,8.854499477,0.6460482989,0.1320087511,0.666666788455,9.2771033311e+19,0.3333331066,0.3333331445,0.3333337489,1.01e-06,2.55e-05,0.000109,2.79e-07,2.46e-06,0.3333,3,2.48e-37,7.74e-35,2.45e-34,1.75e-28,1.25e-39,-1.86146,-1.55067,3.41214
7,near_23,0.7817267832,0.2198594461,0.0243741607,0.666666833076,3.63664722654e+19,0.3333333014,0.333333321,0.3333333776,4.85e-06,1.85e-05,0.000109,3.24e-07,1.69e-05,0.3333,3,1.33e-36,1.14e-34,1.12e-33,1.75e-28,2.5e-40,-0.192029,-0.0738382,0.265867
8,anisotropic,0.007937204073,0.0002945061045,0.003455136445,0.936647086792,1.27887841344,0.3326609553,0.3271270706,0.3402119741,2.14e-13,1.17e-11,1.92e-11,1.65e-11,9.46e-05,0.3333,2.882,2.17e-38,2.57e-40,9.73e-40,9.37e-31,1.05e-45,-0.0177163,-0.18698,0.204696
9,near_23,0.08124642252,3.875189161,0.02277741755,0.666666850562,2.69475098592e+19,0.3333331884,0.3333336167,0.3333331949,1.37e-05,1.19e-06,9.16e-05,2.41e-07,4.18e-06,0.3333,3,7.75e-35,4.14e-36,1e-33,1.75e-28,5.21e-40,-0.788171,1.54099,-0.752821
10,near_23,0.3587916788,1.272773782,0.06433369626,0.666666807154,6.04392322554e+19,0.3333332908,0.3333333934,0.3333333158,8.52e-06,3.8e-06,8.56e-05,2.87e-07,3.45e-06,0.3333,3,4.7e-35,5.02e-36,6.73e-34,1.75e-28,1.59e-39,-0.302884,0.427739,-0.124855
11,near_23,132.482742,1.683867165,0.2677632858,0.666666773826,1.36191777762e+20,0.3333304475,0.3333305392,0.3333390133,5.92e-08,1.42e-06,8.07e-05,2.38e-07,2.99e-06,0.3333,3,1.56e-37,3.41e-35,1.12e-34,1.75e-28,1.88e-40,-26.9297,-26.0736,53.0033
12,near_23,1.065313412,0.0266820752,0.7440124729,0.666666772971,1.39500412206e+20,0.3333333418,0.3333332957,0.3333333625,1.4e-05,7.65e-05,3.28e-05,2.51e-07,4.62e-05,0.3333,3,3.25e-35,2.62e-34,3.04e-35,1.75e-28,7.16e-40,0.0798131,-0.353885,0.274072
13,near_23,0.1592147408,0.5911857644,6.344182271,0.666666774774,1.32636512648e+20,0.3333335934,0.3333332174,0.3333331892,7.51e-05,2.22e-06,1.08e-06,3.37e-07,7.9e-06,0.3333,3,2.92e-35,1.77e-35,1.46e-36,1.75e-28,2.97e-41,2.40589,-1.07236,-1.33353
14,near_23,0.1122804111,0.3019792393,0.1785690909,0.666666873131,1.90413732038e+19,0.333333331,0.3333333464,0.3333333227,7e-05,1.52e-05,2.59e-06,2.53e-07,4.11e-06,0.3333,3,1.48e-35,2.96e-36,8.61e-36,1.75e-28,9e-40,-0.0115119,0.0631019,-0.0515901
15,near_23,1.734187536,0.1190180713,0.5772498544,0.666666775048,1.31632894724e+20,0.3333333181,0.333333288,0.3333333939,6.89e-07,6.37e-05,1.35e-05,2.8e-07,6.53e-06,0.3333,3,1.93e-35,3.37e-34,7.03e-35,1.75e-28,2.42e-40,-0.140812,-0.417859,0.558672
16,near_23,0.0177703138,6.908553179,1.93485621,0.666667079554,2.38089172666e+18,0.333333079,0.3333343206,0.3333326004,5.92e-05,8.88e-08,1.67e-06,3.02e-07,5.54e-06,0.3333,3,1.91e-34,8.69e-37,3.22e-36,1.75e-28,2.36e-40,-0.615998,2.39106,-1.77507
17,near_23,0.1937080106,0.08690829804,36.90234401,0.666666879089,1.74839492362e+19,0.3333364809,0.3333317527,0.3333317664,4.55e-05,5.81e-05,1.21e-07,2.69e-07,9.2e-06,0.3333,3,2.3e-35,8.09e-35,2.64e-37,1.75e-28,3.79e-41,14.8171,-7.44086,-7.37628
