family,beta12,beta13,beta23,alpha_name,alpha,status,method,unconditional_certified,conditional_certified,L,U,mid,rel_width,x1_hat,x2_hat,x3_hat,x_enclosure_radius,core_rho,T1,hp_T_dps50,hp_in_bracket,closed_form_27h,closed_form_in_bracket,dps,boxes,seconds,method,reason
A,0.001,0.001,0.001,2/3+1e-8,0.666666676666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,167583884230741527985604.58350871905477891092,167583884230741527985604.58350871905477891113,167583884230741527985604.583508719054778911025,1.25254e-42,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54578e-50,0.01875,0.009,167583884230741527985604.583508719054778911014,True,167583884230741527985604.583508719054778911014,True,50,349,0.45,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,0.001,0.001,0.001,2/3+1e-7,0.666666766666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,167583843277732311587.730861854819205684356417,167583843277732311587.730861854819205684356438,167583843277732311587.730861854819205684356427,1.25254e-43,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54578e-50,0.01875,0.009,167583843277732311587.730861854819205684356426,True,167583843277732311587.730861854819205684356426,True,50,349,0.38,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,0.001,0.001,0.001,2/3+1e-6,0.666667666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,167583433747640146.252810654251120208461482084,167583433747640146.252810654251120208461482087,167583433747640146.252810654251120208461482086,1.84198e-44,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54578e-50,0.01875,0.009,167583433747640146.252810654251120208461482086,True,167583433747640146.252810654251120208461482086,True,50,349,0.37,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,0.001,0.001,0.001,2/3+1e-5,0.666676666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,167579338446717.136720054784830731703421682106,167579338446717.136720054784830731705225000464,167579338446717.136720054784830731704323341285,1.0761e-35,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32781e-40,0.01875,0.009,167579338446717.136720054784830731704427030052,True,167579338446717.136720054784830731704427030052,True,40,349,0.6,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,0.001,0.001,0.001,2/3+1e-4,0.666766666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,167538385436.130852209907627394385203746168402,167538385436.130852209907627394385203926621912,167538385436.130852209907627394385203836395157,1.07709e-36,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32781e-40,0.01875,0.009,167538385436.130852209907627394385203840646508,True,167538385436.130852209907627394385203840646508,True,40,349,0.37,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,0.001,0.001,0.001,2/3+1e-3,0.667666666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,167128853.974022391047743245591971025284379068,167128853.974022391047743245591971025308916957,167128853.974022391047743245591971025296646472,1.4682e-37,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32782e-40,0.01875,0.009,167128853.97402239104774324559197102530120908,True,167128853.97402239104774324559197102530120908,True,40,349,0.49,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,0.001,0.001,0.001,2/3+1e-2,0.676666666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,163032.182533887296420620741031646780199031087,163032.182533887296420620741031646780200920906,163032.182533887296420620741031646780199975996,1.15917e-38,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32787e-40,0.01875,0.009,163032.182533887296420620741031646780200745801,True,163032.182533887296420620741031646780200745801,True,40,349,0.45,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,0.001,0.001,0.001,0.7,0.7,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,4113.86161867366229064145760389673354443934349,4113.86161867366229064145760389673354446134874,4113.86161867366229064145760389673354445034612,5.34905e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32802e-40,0.01875,0.009,4113.86161867366229064145760389673354445533964,True,4113.86161867366229064145760389673354445533964,True,40,349,0.48,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,0.001,0.001,0.001,0.75,0.75,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,222.686933045325837109409826915191130751567344,222.686933045325837109409826915191130751928809,222.686933045325837109409826915191130751749546,1.6232e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32843e-40,0.01875,0.009,222.686933045325837109409826915191130751799912,True,222.686933045325837109409826915191130751799912,True,40,349,0.46,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
A,0.001,0.001,0.001,2/3+1e-1,0.766666666666666666666666666666666666666666667,CERTIFIED,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),True,True,120.709461631327317883011758119770604386902588,120.709461631327317883011758119770604387142095,120.709461631327317883011758119770604387023077,1.98416e-39,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32862e-40,0.01875,0.009,120.709461631327317883011758119770604387076042,True,120.709461631327317883011758119770604387076042,True,40,349,0.41,U:x-space B&B (unconditional) + C:logit (conditional on C-15 Thm 1),
