triple,beta12,beta13,beta23,alpha,T1,T_alpha,T_alpha_over_T1,evidence
"no_pair_loops_(1,1,1)",1,1,1,0.666666676666667,9,1.67583895975694e+23,1.86204328861882e+22,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666667726311,9,1.40848390076803e+23,1.56498211196448e+22,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666677895128,9,1.18378139647596e+23,1.31531266275106e+22,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666678564843,9,9.94926783671126e+22,1.10547420407903e+22,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666679274502,9,8.36201123135078e+22,9.29112359038975e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666680026488,9,7.02797710172932e+22,7.80886344636591e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666680823326,9,5.90676856880156e+22,6.56307618755729e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666681667691,9,4.96443213550462e+22,5.51603570611624e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666682562417,9,4.172431193211e+22,4.63603465912333e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666683510509,9,3.50678217546236e+22,3.89642463940263e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666684515149,9,2.94732753256184e+22,3.27480836951316e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666668557971,9,2.47712548601997e+22,2.7523616511333e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666686707767,9,2.08193723375636e+22,2.31326359306262e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666687903105,9,1.74979527857124e+22,1.94421697619027e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666689169739,9,1.47064162192155e+22,1.6340462465795e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666669051192,9,1.23602275516465e+22,1.37335861684962e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666691934155,9,1.03883382581751e+22,1.1542598064639e+21,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666693441218,9,8.73103429981387e+21,9.70114922201542e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666695038169,9,7.3381283680268e+21,8.15347596447422e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666696730369,9,6.16743982274919e+21,6.85271091416576e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666698523499,9,5.18351711636142e+21,5.7594634626238e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666700423579,9,4.35656449710362e+21,4.84062721900403e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666702436989,9,3.66153977665091e+21,4.06837752961212e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666704570486,9,3.07739593027306e+21,3.41932881141451e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666706831235,9,2.58644344696839e+21,2.8738260521871e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666709226825,9,2.17381509057122e+21,2.41535010063469e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666711765299,9,1.82701542684987e+21,2.0300171409443e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666714455177,9,1.53554246746557e+21,1.70615829718396e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666717305492,9,1.29056964483455e+21,1.43396627203839e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666720325813,9,1.08467856430523e+21,1.20519840478359e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666723526278,9,9.11634337803545e+20,1.01292704200394e+20,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666726917633,9,7.66196718286645e+20,8.51329686985161e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666730511263,9,6.43961504733851e+20,7.15512783037612e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666734319233,9,5.41227083580739e+20,6.01363426200821e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666738354327,9,4.54882405629384e+20,5.0542489514376e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666742630091,9,3.82312724476351e+20,4.24791916084834e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666674716088,9,3.21320452178617e+20,3.57022724642908e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666751961906,9,2.70058583125078e+20,3.00065092361198e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666757049286,9,2.26974779969102e+20,2.52194199965669e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666762440099,9,1.90764353100561e+20,2.11960392333957e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666768152444,9,1.60330755465335e+20,1.78145283850372e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666774205498,9,1.34752384553456e+20,1.49724871726063e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666780619582,9,1.1325465900004e+20,1.25838510000044e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666678741623,9,9.51865743693939e+19,1.05762860410438e+19,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666679461826,9,8.00009817385935e+19,8.88899797095483e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666802249851,9,6.7238023133069e+19,7.47089145922989e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666810336623,9,5.65112036529627e+19,6.27902262810696e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666818905725,9,4.749568759425e+19,5.27729862158333e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666827985925,9,3.99184620842275e+19,4.43538467602528e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666837607709,9,3.3550069537123e+19,3.72778550412478e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666847803377,9,2.81976585680262e+19,3.13307317422514e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666685860716,9,2.36991446055668e+19,2.63323828950743e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666870055327,9,1.99183012548524e+19,2.21314458387249e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666882186313,9,1.67406348120667e+19,1.86007053467408e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666895040844,9,1.40699174235879e+19,1.56332415817643e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666908662074,9,1.1825273012972e+19,1.31391922366355e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666923095735,9,9.9387279881332e+18,1.10430310979258e+18,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666938390282,9,8.3531529627499e+18,9.28128106972211e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666954597062,9,7.0205326609999e+18,7.80059184555544e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666971770485,9,5.90051198105422e+18,6.55612442339358e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666989968206,9,4.95917380043298e+18,5.5101931115922e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667009251318,9,4.16801202223276e+18,4.63112446914751e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667029684559,9,3.50306825032215e+18,3.8922980559135e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667051336528,9,2.94420628492611e+18,3.27134031658457e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667074279914,9,2.47450237137546e+18,2.74944707930607e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667098591744,9,2.07973267101827e+18,2.31081407890919e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667124353638,9,1.74794255658738e+18,1.9421583962082e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667151652083,9,1.4690845787239e+18,1.63231619858211e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667180578726,9,1.23471420746833e+18,1.37190467496481e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666721123068,9,1.03773411208519e+18,1.15303790231688e+17,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666724371085,9,8.72179235247373e+17,9.69088039163748e+16,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667278128279,9,7.33036153175521e+17,8.14484614639468e+16,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667314598514,9,6.1609126196082e+17,6.84545846623134e+16,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667353243992,9,5.17803171620853e+17,5.75336857356503e+16,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666667394194455,9,4.35195469770324e+17,4.83550521967026e+16,FLOAT
