family,beta12,beta13,beta23,alpha,T1,T_alpha_L,T_alpha_U,T_alpha_mid,ratio_mid,W_mid,W_over_T1_mid,x1_hat,x2_hat,x3_hat,x_enclosure_radius,evidence
atlas_A,0.001,0.001,0.001,0.6666666766666667,0.009,167583884230741527985604.58350871905477891092,167583884230741527985604.58350871905477891113,167583884230741527985604.583508719054778911025,1.8620431581193506e+25,1.6758388423074154e+23,1.8620431581193506e+25,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54578e-50,CERTIFIED
atlas_A,0.001,0.001,0.001,0.6666667666666667,0.009,167583843277732311587.730861854819205684356417,167583843277732311587.730861854819205684356438,167583843277732311587.730861854819205684356427,1.8620427030859147e+22,1.675838432777323e+20,1.8620427030859147e+22,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54578e-50,CERTIFIED
atlas_A,0.001,0.001,0.001,0.6666676666666667,0.009,167583433747640146.252810654251120208461482084,167583433747640146.252810654251120208461482087,167583433747640146.252810654251120208461482086,1.8620381527515574e+19,1.6758343374764016e+17,1.8620381527515574e+19,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.54578e-50,CERTIFIED
atlas_A,0.001,0.001,0.001,0.6666766666666667,0.009,167579338446717.136720054784830731703421682106,167579338446717.136720054784830731705225000464,167579338446717.136720054784830731704323341285,1.861992649407968e+16,167579338446717.12,1.861992649407968e+16,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32781e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.6667666666666666,0.009,167538385436.130852209907627394385203746168402,167538385436.130852209907627394385203926621912,167538385436.130852209907627394385203836395157,18615376159570.098,167538385436.12186,18615376159569.098,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32781e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.6676666666666666,0.009,167128853.974022391047743245591971025284379068,167128853.974022391047743245591971025308916957,167128853.974022391047743245591971025296646472,18569872663.780266,167128853.9650224,18569872662.780266,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32782e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.6766666666666666,0.009,163032.182533887296420620741031646780199031087,163032.182533887296420620741031646780200920906,163032.182533887296420620741031646780199975996,18114686.948209703,163032.1735338873,18114685.948209703,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32787e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.7,0.009,4113.86161867366229064145760389673354443934349,4113.86161867366229064145760389673354446134874,4113.86161867366229064145760389673354445034612,457095.73540818476,4113.852618673663,457094.73540818476,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32802e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.75,0.009,222.686933045325837109409826915191130751567344,222.686933045325837109409826915191130751928809,222.686933045325837109409826915191130751749546,24742.992560591763,222.67793304532586,24741.992560591763,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32843e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.7666666666666667,0.009,120.709461631327317883011758119770604386902588,120.709461631327317883011758119770604387142095,120.709461631327317883011758119770604387023077,13412.162403480814,120.70046163132731,13411.162403480814,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32862e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.8,0.009,43.743034465017227197732214842180105131247342,43.7430344650172271977322148421801051313046474,43.7430344650172271977322148421801051312759947,4860.337162779692,43.734034465017224,4859.337162779692,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.32912e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.85,0.009,12.3396298131970583140380655273415193343294382,12.3396298131970583140380655273415193343465196,12.3396298131970583140380655273415193343378871,1371.0699792441178,12.330629813197058,1370.0699792441176,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.33052e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.9,0.009,3.62319741091405829409363422297145176679648019,3.6231974109140582940936342229714517668019444,3.62319741091405829409363422297145176679918934,402.57749010156203,3.614197410914058,401.57749010156203,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.3344e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.9,0.009,3.62319741091405829409363422297145176679648019,3.6231974109140582940936342229714517668019444,3.62319741091405829409363422297145176679918934,402.57749010156203,3.614197410914058,401.57749010156203,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.3344e-40,CERTIFIED
atlas_A,0.001,0.001,0.001,0.95,0.009,0.735496689100738816200486646623610042282675107,0.73549668910073881620048664662361004228423631,0.735496689100738816200486646623610042283455708,81.72185434452655,0.7264966891007388,80.72185434452655,0.333333333333333333333333333333,0.333333333333333333333333333333,0.333333333333333333333333333333,1.35537e-40,CERTIFIED
