triple,beta12,beta13,beta23,alpha,T1,T_Phi=T1/rho_alpha,T_alpha,certified_fraction_(TPhi-T1)/(Talpha-T1),TPhi_over_Talpha,limit_alpha_to_1_2sqrt(SG)/(S+G),evidence
"no_pair_loops_(1,1,1)",1,1,1,0.666666676666667,9,1.21585419603465e+16,1.67583895975694e+23,7.25519709967237e-08,7.25519709967237e-08,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666667726311,9,1.08283238006123e+16,1.40848390076803e+23,7.68792869745101e-08,7.68792869745101e-08,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666677895128,9,9.64363987362712e+15,1.18378139647596e+23,8.14647020331256e-08,8.14647020331257e-08,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666678564843,9,8.58856726953193e+15,9.94926783671126e+22,8.63236110484576e-08,8.63236110484577e-08,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666679274502,9,7.64892617948589e+15,8.36201123135078e+22,9.14723260692188e-08,9.14723260692189e-08,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666680026488,9,6.81208728234397e+15,7.02797710172932e+22,9.69281371259415e-08,9.69281371259416e-08,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666680823326,9,6.06680371873529e+15,5.90676856880156e+22,1.02709351959022e-07,1.02709351959022e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666681667691,9,5.40305874869421e+15,4.96443213550462e+22,1.08835383407754e-07,1.08835383407754e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666682562417,9,4.81193138727491e+15,4.172431193211e+22,1.15326800238299e-07,1.15326800238299e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666683510509,9,4.28547695720276e+15,3.50678217546236e+22,1.22205393514005e-07,1.22205393514005e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666684515149,9,3.81661987422243e+15,2.94732753256184e+22,1.29494256476646e-07,1.29494256476646e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666668557971,9,3.39905852295959e+15,2.47712548601997e+22,1.37217857639537e-07,1.37217857639538e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666686707767,9,3.02718098749433e+15,2.08193723375636e+22,1.45402125405697e-07,1.45402125405697e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666687903105,9,2.6959890696931e+15,1.74979527857124e+22,1.5407454247416e-07,1.5407454247416e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666689169739,9,2.40103154737624e+15,1.47064162192155e+22,1.63264218255908e-07,1.63264218255909e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666669051192,9,2.13834418001484e+15,1.23602275516465e+22,1.73002007534236e-07,1.73002007534237e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666691934155,9,1.90439639355354e+15,1.03883382581751e+22,1.83320599139605e-07,1.83320599139606e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666693441218,9,1.69604389170214e+15,8.73103429981387e+21,1.94254636216271e-07,1.94254636216272e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666695038169,9,1.51048643343013e+15,7.3381283680268e+21,2.05840829933081e-07,2.05840829933082e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666696730369,9,1.34523007958329e+15,6.16743982274919e+21,2.18118071395082e-07,2.18118071395083e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666698523499,9,1.19805376990125e+15,5.18351711636142e+21,2.31127580561019e-07,2.3112758056102e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666700423579,9,1.06697943411088e+15,4.35656449710362e+21,2.44913035218515e-07,2.44913035218517e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666702436989,9,950245423368841,3.66153977665091e+21,2.59520715691362e-07,2.59520715691364e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666704570486,9,846282830580869,3.07739593027306e+21,2.74999658723071e-07,2.74999658723074e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666706831235,9,753694365968365,2.58644344696839e+21,2.91401834767264e-07,2.91401834767268e-07,0.866025403784439,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666709226825,9,671235637848914,2.17381509057122e+21,3.08782306627802e-07,3.08782306627806e-07,0.866025403784439,FLOAT
