triple,beta12,beta13,beta23,alpha,L3_at_kappa0,L3_cain_boundary,L3_fractional_boundary,band_width_in_L3,realizability_2sqrtG_if_G>0,evidence
"no_pair_loops_(1,1,1)",1,1,1,0.666666676666667,1,-8,-1.67583895975694e+23,1.67583895975694e+23,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666667726311,1,-8,-1.40848390076803e+23,1.40848390076803e+23,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666677895128,1,-8,-1.18378139647596e+23,1.18378139647596e+23,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666678564843,1,-8,-9.94926783671126e+22,9.94926783671126e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666679274502,1,-8,-8.36201123135078e+22,8.36201123135078e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666680026488,1,-8,-7.02797710172932e+22,7.02797710172932e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666680823326,1,-8,-5.90676856880156e+22,5.90676856880156e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666681667691,1,-8,-4.96443213550462e+22,4.96443213550462e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666682562417,1,-8,-4.172431193211e+22,4.172431193211e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666683510509,1,-8,-3.50678217546236e+22,3.50678217546236e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666684515149,1,-8,-2.94732753256184e+22,2.94732753256184e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666668557971,1,-8,-2.47712548601997e+22,2.47712548601997e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666686707767,1,-8,-2.08193723375636e+22,2.08193723375636e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666687903105,1,-8,-1.74979527857124e+22,1.74979527857124e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666689169739,1,-8,-1.47064162192155e+22,1.47064162192155e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666669051192,1,-8,-1.23602275516465e+22,1.23602275516465e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666691934155,1,-8,-1.03883382581751e+22,1.03883382581751e+22,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666693441218,1,-8,-8.73103429981387e+21,8.73103429981387e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666695038169,1,-8,-7.3381283680268e+21,7.3381283680268e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666696730369,1,-8,-6.16743982274919e+21,6.16743982274919e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666698523499,1,-8,-5.18351711636142e+21,5.18351711636142e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666700423579,1,-8,-4.35656449710362e+21,4.35656449710362e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666702436989,1,-8,-3.66153977665091e+21,3.66153977665091e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666704570486,1,-8,-3.07739593027306e+21,3.07739593027306e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666706831235,1,-8,-2.58644344696839e+21,2.58644344696839e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666709226825,1,-8,-2.17381509057122e+21,2.17381509057122e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666711765299,1,-8,-1.82701542684987e+21,1.82701542684987e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666714455177,1,-8,-1.53554246746557e+21,1.53554246746557e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666717305492,1,-8,-1.29056964483455e+21,1.29056964483455e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666720325813,1,-8,-1.08467856430523e+21,1.08467856430523e+21,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666723526278,1,-8,-9.11634337803545e+20,9.11634337803545e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666726917633,1,-8,-7.66196718286645e+20,7.66196718286645e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666730511263,1,-8,-6.43961504733851e+20,6.43961504733851e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666734319233,1,-8,-5.41227083580739e+20,5.41227083580739e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666738354327,1,-8,-4.54882405629384e+20,4.54882405629384e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666742630091,1,-8,-3.82312724476351e+20,3.82312724476351e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666674716088,1,-8,-3.21320452178617e+20,3.21320452178617e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666751961906,1,-8,-2.70058583125078e+20,2.70058583125078e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666757049286,1,-8,-2.26974779969102e+20,2.26974779969102e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666762440099,1,-8,-1.90764353100561e+20,1.90764353100561e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666768152444,1,-8,-1.60330755465335e+20,1.60330755465335e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666774205498,1,-8,-1.34752384553456e+20,1.34752384553456e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666780619582,1,-8,-1.1325465900004e+20,1.1325465900004e+20,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666678741623,1,-8,-9.51865743693939e+19,9.51865743693939e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.66666679461826,1,-8,-8.00009817385935e+19,8.00009817385935e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666802249851,1,-8,-6.7238023133069e+19,6.7238023133069e+19,0,FLOAT
"no_pair_loops_(1,1,1)",1,1,1,0.666666810336623,1,-8,-5.65112036529627e+19,5.65112036529627e+19,0,FLOAT
