alpha,s,beta12=e^s,beta13=1,beta23=e^-s/2,x1,x2,x3,cain_x1,cain_x2,cain_x3,evidence
0.75,-4,0.0183156388887,1,7.38905609893,0.467196658658,0.290452573012,0.24235076833,0.705384512698,0.259496460342,0.0351190269593,FLOAT
0.75,-3.99,0.0184997141198,1,7.35220302789,0.466769462737,0.290674465727,0.242556071536,0.704740425298,0.259908473476,0.0353511012264,FLOAT
0.75,-3.98,0.0186856393377,1,7.31553376231,0.466342802657,0.290895995875,0.242761201468,0.704094971528,0.260320418159,0.0355846103125,FLOAT
0.75,-3.97,0.0188734331352,1,7.27904738545,0.465916679494,0.291117162314,0.242966158192,0.703448148756,0.260732289229,0.0358195620145,FLOAT
0.75,-3.96,0.0190631142916,1,7.24274298516,0.465491094315,0.291337963901,0.243170941784,0.702799954352,0.261144081489,0.0360559641594,FLOAT
0.75,-3.95,0.0192547017754,1,7.20661965382,0.465066048174,0.291558399494,0.243375552332,0.702150385688,0.261555789707,0.0362938246045,FLOAT
0.75,-3.94,0.0194482147454,1,7.17067648835,0.464641542118,0.291778467948,0.243579989933,0.70149944014,0.261967408622,0.0365331512373,FLOAT
0.75,-3.93,0.0196436725531,1,7.13491259016,0.464217577182,0.291998168122,0.243784254695,0.700847115085,0.262378932939,0.0367739519754,FLOAT
0.75,-3.92,0.0198410947444,1,7.09932706516,0.463794154391,0.292217498871,0.243988346738,0.700193407904,0.262790357329,0.0370162347666,FLOAT
0.75,-3.91,0.0200405010617,1,7.0639190237,0.463371274758,0.292436459052,0.24419226619,0.699538315981,0.26320167643,0.0372600075889,FLOAT
0.75,-3.9,0.0202419114458,1,7.02868758059,0.462948939288,0.292655047519,0.244396013193,0.698881836702,0.263612884848,0.03750527845,FLOAT
0.75,-3.89,0.0204453460379,1,6.99363185503,0.462527148972,0.292873263129,0.244599587899,0.698223967457,0.264023977155,0.037752055388,FLOAT
0.75,-3.88,0.0206508251817,1,6.95875097064,0.462105904794,0.293091104736,0.24480299047,0.697564705641,0.264434947888,0.0380003464708,FLOAT
0.75,-3.87,0.0208583694252,1,6.92404405538,0.461685207725,0.293308571195,0.24500622108,0.69690404865,0.264845791554,0.0382501597962,FLOAT
0.75,-3.86,0.021067999523,1,6.88951024158,0.461265058725,0.293525661361,0.245209279914,0.696241993885,0.265256502623,0.0385015034918,FLOAT
0.75,-3.85,0.0212797364384,1,6.8551486659,0.460845458744,0.293742374086,0.24541216717,0.695578538751,0.265667075534,0.0387543857153,FLOAT
0.75,-3.84,0.0214936013451,1,6.82095846929,0.46042640872,0.293958708224,0.245614883056,0.694913680656,0.26607750469,0.0390088146538,FLOAT
0.75,-3.83,0.0217096156298,1,6.786938797,0.460007909581,0.294174662628,0.245817427791,0.694247417014,0.266487784462,0.0392647985244,FLOAT
0.75,-3.82,0.0219278008943,1,6.75308879853,0.459589962243,0.294390236149,0.246019801607,0.693579745241,0.266897909185,0.0395223455736,FLOAT
0.75,-3.81,0.022148178957,1,6.71940762763,0.459172567613,0.29460542764,0.246222004747,0.69291066276,0.267307873162,0.0397814640777,FLOAT
0.75,-3.8,0.0223707718562,1,6.68589444228,0.458755726583,0.294820235951,0.246424037467,0.692240166997,0.267717670661,0.0400421623422,FLOAT
0.75,-3.79,0.0225956018511,1,6.65254840463,0.458339440036,0.295034659931,0.246625900033,0.691568255382,0.268127295915,0.0403044487024,FLOAT
0.75,-3.78,0.0228226914251,1,6.61936868104,0.457923708843,0.295248698432,0.246827592725,0.690894925353,0.268536743124,0.0405683315228,FLOAT
