triple,beta12,beta13,beta23,k,1-alpha,T1,C_beta,T_alpha,(T-T1)/(1-alpha),(T-T1)/(C(1-alpha)),D_estimate=(T-T1-C eps)/eps^2,evidence
"no_pair_loops_(1,1,1)",1,1,1,1,0.1,9.0,65.29677711243184262138682,21.934967727204405243819593870570396,129.3496772720440524381959,1.980950408154481314,640.529001596122,HP(45 digits)
"no_pair_loops_(1,1,1)",1,1,1,2,0.01,9.0,65.29677711243184262138682,9.6902378055158785835363633661820446,69.02378055158785835363634,1.0570779080373085085,372.700343915602,HP(45 digits)
"no_pair_loops_(1,1,1)",1,1,1,3,0.001,9.0,65.29677711243184262138682,9.0656537548974692422806340856183321,65.65375489746924228063409,1.0054670046642996522,356.9777850374,HP(45 digits)
"no_pair_loops_(1,1,1)",1,1,1,4,0.0001,9.0,65.29677711243184262138682,9.0065332324343816675698625335271688,65.33232434381667569862534,1.0005443948837417467,355.472313848331,HP(45 digits)
"no_pair_loops_(1,1,1)",1,1,1,5,1.0e-5,9.0,65.29677711243184262138682,9.0006530033033650717899725355701898,65.30033033650717899725356,1.0000544165306844812,355.322407533638,HP(45 digits)
"no_pair_loops_(1,1,1)",1,1,1,6,1.0e-6,9.0,65.29677711243184262138682,9.0000652971324198551268413726971036,65.2971324198551268413727,1.0000054414235892903,355.30742328422,HP(45 digits)
"no_pair_loops_(1,1,1)",1,1,1,7,1.0e-7,9.0,65.29677711243184262138682,9.0000065296812643024334928672199556,65.2968126430243349286722,1.0000005441400642352,355.305924923073,HP(45 digits)
"no_pair_loops_(1,1,1)",1,1,1,8,1.0e-8,9.0,65.29677711243184262138682,9.0000006529678066548959349734742746,65.29678066548959349734743,1.0000000544139834767,355.305775087596,HP(45 digits)
"no_pair_loops_(1,1,1)",1,1,1,9,1.0e-9,9.0,65.29677711243184262138682,9.0000000652967774677376027254415782,65.29677746773760272544158,1.0000000054413981182,355.305760104055,HP(45 digits)
"no_pair_loops_(1,1,1)",1,1,1,10,1.0e-10,9.0,65.29677711243184262138682,9.0000000065296777147962418481956887,65.29677714796241848195689,1.0000000005441398095,355.305758605701,HP(45 digits)
"all_antagonistic_(3,3,3)",3,3,3,1,0.1,27.0,169.6460032938488348769827,57.669138794800323778936576389306917,306.6913879480032377893658,1.8078314961347722351,1370.45384654154,HP(45 digits)
"all_antagonistic_(3,3,3)",3,3,3,2,0.01,27.0,169.6460032938488348769827,28.780035649372328787413970848387873,178.0035649372328787413971,1.0492647128792516578,835.756164338404,HP(45 digits)
"all_antagonistic_(3,3,3)",3,3,3,3,0.001,27.0,169.6460032938488348769827,27.170448943317727796515587660816288,170.4489433177277965155877,1.0047330323632096749,802.940023878962,HP(45 digits)
"all_antagonistic_(3,3,3)",3,3,3,4,0.0001,27.0,169.6460032938488348769827,27.016972598198537199742001975342209,169.7259819853719974200198,1.0004714445962197476,799.786915231625,HP(45 digits)
"all_antagonistic_(3,3,3)",3,3,3,5,1.0e-5,27.0,169.6460032938488348769827,27.001696539980222481381827883054455,169.6539980222481381827883,1.0000471259460528251,799.472839930331,HP(45 digits)
"all_antagonistic_(3,3,3)",3,3,3,6,1.0e-6,27.0,169.6460032938488348769827,27.000169646802735293543049356580083,169.6468027352935430493566,1.0000047124095421419,799.441444708172,HP(45 digits)
"all_antagonistic_(3,3,3)",3,3,3,7,1.0e-7,27.0,169.6460032938488348769827,27.000016964608323767936577586063654,169.6460832376793657758606,1.0000004712391036553,799.438305308989,HP(45 digits)
"all_antagonistic_(3,3,3)",3,3,3,8,1.0e-8,27.0,169.6460032938488348769827,27.000001696460112882287485799896851,169.6460112882287485799897,1.00000004712389186,799.437991370301,HP(45 digits)
"all_antagonistic_(3,3,3)",3,3,3,9,1.0e-9,27.0,169.6460032938488348769827,27.000000169646004093286794853426931,169.6460040932867948534269,1.0000000047123890009,799.437959976444,HP(45 digits)
"all_antagonistic_(3,3,3)",3,3,3,10,1.0e-10,27.0,169.6460032938488348769827,27.000000016964600337379263056068861,169.6460033737926305606886,1.0000000004712388982,799.437956837059,HP(45 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,1,0.1,21.51993535019649097865622,136.6577733536193269164408,46.803799188682899937866287267590902,252.8386383848640895921007,1.8501592129019403385,1161.80865031245,HP(45 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,2,0.01,21.51993535019649097865622,136.6577733536193269164408,22.956868276220731714769771800873889,143.6932926024240736113556,1.0514827592763380391,703.551924880475,HP(45 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,3,0.001,21.51993535019649097865622,136.6577733536193269164408,21.657268845604575632262762748419132,137.333495408084653606547,1.0049446294775841996,675.722054465327,HP(45 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,4,0.0001,21.51993535019649097865622,136.6577733536193269164408,21.533607858036407465128953070600088,136.7250783991648647273734,1.0004925079919996755,673.050455455378,HP(45 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,5,1.0e-5,21.51993535019649097865622,136.6577733536193269164408,21.521301995208463792923875253977548,136.6645011972814267659525,1.0000492313279881321,672.784366209985,HP(45 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,6,1.0e-6,21.51993535019649097865622,136.6577733536193269164408,21.520072008642602365933525641215263,136.658446111387277309912,1.0000049229381647361,672.757767950393,HP(45 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,7,1.0e-7,21.51993535019649097865622,136.6577733536193269164408,21.519949015980553891671217796831609,136.6578406291301500206757,1.0000004922918702109,672.755108231042,HP(45 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,8,1.0e-8,21.51993535019649097865622,136.6577733536193269164408,21.519936716774291790333710910997737,136.6577800811677495181735,1.0000000492291675585,672.754842260173,HP(45 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,9,1.0e-9,21.51993535019649097865622,136.6577733536193269164408,21.519935486854265005030358308800133,136.6577740263741425795378,1.0000000049229165612,672.754815663097,HP(45 digits)
"antagonistic_mixed_(1.5,4,2)",1.5,4,2,10,1.0e-10,21.51993535019649097865622,136.6577733536193269164408,21.519935363862268320745696550940293,136.6577734208948082167797,1.0000000004922916542,672.75481300339,HP(45 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,1,0.1,4.5,40.40031965009871900963715,13.13466105309402924522903577486896,86.34661053094029245229036,2.1372754294712443628,459.462908808416,HP(45 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,2,0.01,4.5,40.40031965009871900963715,4.929710160602419248898513770317973,42.97101606024192488985138,1.0636305958073508542,257.069641014321,HP(45 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,3,0.001,4.5,40.40031965009871900963715,4.5406458201929091005248234235301494,40.64582019290910052482342,1.0060766980295360517,245.500542810382,HP(45 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,4,0.0001,4.5,40.40031965009871900963715,4.5040424759149623030229537533577858,40.42475914962303022953753,1.000604933320725632,244.394995243112,HP(45 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,5,1.0e-5,4.5,40.40031965009871900963715,4.5004040276249942480418078934691166,40.40276249942480418078935,1.0000604660890617285,244.284932608517,HP(45 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,6,1.0e-6,4.5,40.40031965009871900963715,4.5000404005639240299646467960053504,40.40056392402996464679601,1.000006046336597365,244.273931245637,HP(45 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,7,1.0e-7,4.5,40.40031965009871900963715,4.5000040400344077381834843077098643,40.4003440773818348430771,1.0000006046309367697,244.272831158334,HP(45 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,8,1.0e-8,4.5,40.40031965009871900963715,4.5000004040032209282593051057669946,40.4003220928259305105767,1.0000000604630664474,244.272721150094,HP(45 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,9,1.0e-9,4.5,40.40031965009871900963715,4.5000000404003198943714291589119546,40.40031989437142915891195,1.0000000060463063724,244.272710149275,HP(45 digits)
"all_mutualistic_(0.5,0.5,0.5)",0.5,0.5,0.5,10,1.0e-10,4.5,40.40031965009871900963715,4.500000004040031967452598991455644,40.40031967452598991455644,1.0000000006046306345,244.272709049193,HP(45 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,1,0.1,4.19736659610102775178191,40.38892449223166636985811,12.809211611617500876451780090164448,86.1184501551647312466987,2.1322293484623142218,457.295256629331,HP(45 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,2,0.01,4.19736659610102775178191,40.38892449223166636985811,4.6268165329833070981583624137985548,42.9449936882279346376452,1.0632863892299954175,255.606919599627,HP(45 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,3,0.001,4.19736659610102775178191,40.38892449223166636985811,4.2379996251229324195388941331024919,40.63302902190466775698376,1.0060438482267571155,244.104529673001,HP(45 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,4,0.0001,4.19736659610102775178191,40.38892449223166636985811,4.2014079186073333353881806499056818,40.41322506305583606270278,1.0006016642218052531,243.005708241697,HP(45 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,5,1.0e-5,4.19736659610102775178191,40.38892449223166636985811,4.1977705096355818032549507619087835,40.39135345540514730403903,1.0000601393378015826,242.896317348093,HP(45 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,6,1.0e-6,4.19736659610102775178191,40.38892449223166636985811,4.1974069852684052157075490144751541,40.3891673774639256386429,1.0000060136593215297,242.885232259269,HP(45 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,7,1.0e-7,4.19736659610102775178191,40.38892449223166636985811,4.1973706349959056652807700259236081,40.38894877913498859654349,1.0000006013258245314,242.869033222267,HP(45 digits)
"mutualistic_mixed_(0.2,0.8,0.5)",0.2,0.8,0.5,8,1.0e-8,4.19736659610102775178191,40.38892449223166636985811,4.1973669999902968099342062280436236,40.38892690581522958564694,1.0000000597585499876,241.358356321579,HP(45 digits)
