triple,beta12,beta13,beta23,k,alpha=2/3+1e-k,K=1-4cos^2(alpha pi/2),T_alpha,T*K^3/27,(T*K^3-27)/K,9*sum(beta)-27,evidence
"no_pair_loops_(1,1,1)",1,1,1,1,0.7666666666666666666666667,0.486289650954788,213.54842394068591659605673056037205,0.90953138103386434821,-5.02304070689089,0.0,HP(55 digits)
"no_pair_loops_(1,1,1)",1,1,1,2,0.6766666666666666666666667,0.0539115909933551,172143.71638325927555569130831076473,0.99901924874178161599,-0.491179790541893,0.0,HP(55 digits)
"no_pair_loops_(1,1,1)",1,1,1,3,0.6676666666666666666666667,0.00543645434382414,168039834.48239857286021069377037443,0.99999013638709715997,-0.0489873604253147,0.0,HP(55 digits)
"no_pair_loops_(1,1,1)",1,1,1,4,0.6667666666666666666666667,0.000544090452297925,167629483314.08993056024789774070369,0.99999990130992558492,-0.00489740630064983,0.0,HP(55 digits)
"no_pair_loops_(1,1,1)",1,1,1,5,0.6666766666666666666666667,5.44134874378558e-5,167588448234340.16556203008862605695,0.9999999990130455273,-0.000489727308757047,0.0,HP(55 digits)
"no_pair_loops_(1,1,1)",1,1,1,6,0.6666676666666666666666667,5.4413931578915e-6,167584344726402276.25796669974663871,0.99999999999013040157,-4.89725976387036e-5,0.0,HP(55 digits)
"no_pair_loops_(1,1,1)",1,1,1,7,0.6666667666666666666666667,5.44139759922234e-7,167583934375608524415.36742004530207,0.99999999999990130396,-4.89725843147643e-6,0.0,HP(55 digits)
"no_pair_loops_(1,1,1)",1,1,1,8,0.6666666766666666666666667,5.44139804335463e-8,167583893340529149268195.36028092054,0.99999999999999901304,-4.89725829823679e-7,0.0,HP(55 digits)
"no_pair_loops_(1,1,1)",1,1,1,9,0.6666666676666666666666667,5.44139808776785e-9,167583889237021211753515242.17880296,0.99999999999999999013,-4.89725828491283e-8,0.0,HP(55 digits)
"no_pair_loops_(1,1,1)",1,1,1,10,0.6666666667666666666666667,5.44139809220917e-10,167583888826670418002047267456.46613,0.9999999999999999999,-4.89725828358043e-9,0.0,HP(55 digits)
"all_antagonistic_(3,3,3)",3,3,3,1,0.7666666666666666666666667,0.486289650954788,399.90985834864101586451348901785131,1.7032697270288654155,39.0472686237461,54.0,HP(55 digits)
"all_antagonistic_(3,3,3)",3,3,3,2,0.6766666666666666666666667,0.0539115909933551,190389.87987927769004554449677503841,1.1049090769108724775,52.540558058149,54.0,HP(55 digits)
"all_antagonistic_(3,3,3)",3,3,3,3,0.6676666666666666666666667,0.00543645434382414,169863625.15912037996352467564348343,1.0108433527876857252,53.8532114410386,54.0,HP(55 digits)
"all_antagonistic_(3,3,3)",3,3,3,4,0.6667666666666666666666667,0.000544090452297925,167811861454.1330969418262583804803,1.0010878848700880266,53.9853095534438,54.0,HP(55 digits)
"all_antagonistic_(3,3,3)",3,3,3,5,0.6666766666666666666666667,5.44134874378558e-5,167606686047405.28505513214726329626,1.0001088240140480876,53.9985308358348,54.0,HP(55 digits)
"all_antagonistic_(3,3,3)",3,3,3,6,0.6666676666666666666666667,5.4413931578915e-6,167586168507707847.83772209779999632,1.0000108827567070235,53.9998530823847,54.0,HP(55 digits)
