alpha,R3,R3^3,s,t_boundary,margin_simplex_inside,margin_direct_eig_inside,margin_simplex_outside,margin_direct_eig_outside
1.0,2.0,8.0,0.0,7.999999999999716,1.9245022220282237e-07,1.9245022486735763e-07,-1.9244995619338567e-07,-1.9244995397293962e-07
1.0,2.0,8.0,0.16,7.839999999999861,1.8860121397956675e-07,1.8860121486774517e-07,-1.8860096195894016e-07,-1.8860096107076174e-07
1.0,2.0,8.0,0.48,7.519999999999811,1.809032015298584e-07,1.8090320264008142e-07,-1.80902966828711e-07,-1.8090296594053257e-07
1.0,2.0,8.0,0.8,7.200000000000102,1.7320518175267807e-07,1.7320518219676728e-07,-1.732049801361768e-07,-1.7320497880390917e-07
1.0,2.0,8.0,1.1199999999999999,6.880000000000052,1.6550717019114813e-07,1.6550717041319274e-07,-1.655069841177692e-07,-1.6550698367368e-07
1.0,2.0,8.0,1.44,6.560000000000002,1.57809159295752e-07,1.5780916018393043e-07,-1.578089876552724e-07,-1.578089872111832e-07
1.0,2.0,8.0,1.76,6.239999999999952,1.501111486224005e-07,1.501111488444451e-07,-1.501109911927756e-07,-1.501109911927756e-07
1.0,2.0,8.0,2.08,5.919999999999902,1.424131386151828e-07,1.424131388372274e-07,-1.424129942861896e-07,-1.4241299362005577e-07
1.0,2.0,8.0,2.4000000000000004,5.599999999999852,1.3471512860796508e-07,1.347151292740989e-07,-1.3471499671346976e-07,-1.3471499604733594e-07
1.0,2.0,8.0,2.72,5.279999999999802,1.270171194889258e-07,1.2701712015505962e-07,-1.2701699914074993e-07,-1.2701699847461612e-07
1.0,2.0,8.0,3.04,4.960000000000093,1.1931910215423613e-07,1.1931910326445916e-07,-1.1931900911754667e-07,-1.1931900800732365e-07
1.0,2.0,8.0,3.3600000000000003,4.640000000000043,1.1162109370133066e-07,1.1162109436746448e-07,-1.1162101021255921e-07,-1.1162100976847e-07
1.0,2.0,8.0,3.68,4.319999999999993,1.039230854704698e-07,1.0392308635864822e-07,-1.0392301130757176e-07,-1.0392301064143794e-07
1.0,2.0,8.0,4.0,3.999999999999943,9.622507790574275e-08,9.622507834983196e-08,-9.622501173645048e-08,-9.622501129236127e-08
1.0,2.0,8.0,4.32,3.679999999999893,8.85270703410157e-08,8.852707167328333e-08,-8.852701216532921e-08,-8.852701127715079e-08
1.0,2.0,8.0,4.640000000000001,3.359999999999843,8.082906344242247e-08,8.082906455264549e-08,-8.082901170602952e-08,-8.082900992967268e-08
1.0,2.0,8.0,4.96,3.040000000000134,7.313104877226806e-08,7.313104966044648e-08,-7.31310192403356e-08,-7.3131019018291e-08
1.0,2.0,8.0,5.28,2.720000000000084,6.543304276185324e-08,6.543304365003166e-08,-6.54330181149021e-08,-6.543301767081289e-08
1.0,2.0,8.0,5.6000000000000005,2.400000000000034,5.773503719552764e-08,5.773503852779527e-08,-5.7735016767423986e-08,-5.7735015435156356e-08
1.0,2.0,8.0,5.92,2.079999999999984,5.003703185124664e-08,5.003703296146966e-08,-5.003701475381206e-08,-5.0037013643589034e-08
1.0,2.0,8.0,6.24,1.759999999999934,4.233902695105485e-08,4.233902761718866e-08,-4.233901251815553e-08,-4.233901207406632e-08
1.0,2.0,8.0,6.5600000000000005,1.439999999999884,3.464102249495227e-08,3.464102360517529e-08,-3.464100961636518e-08,-3.464100961636518e-08
1.0,2.0,8.0,6.88,1.119999999999834,2.6943018482938896e-08,2.694302003725113e-08,-2.694300649253023e-08,-2.6943005826396416e-08
1.0,2.0,8.0,7.2,0.8000000000001251,1.9245006921408958e-08,1.9245008031631983e-08,-1.9245011362301057e-08,-1.9245010474122637e-08
1.0,2.0,8.0,7.5200000000000005,0.48000000000007503,1.1547003575529402e-08,1.1547004463707822e-08,-1.1547007350287686e-08,-1.1547006462109266e-08
1.0,2.0,8.0,7.84,0.160000000000025,3.849000673739056e-09,3.849000895783661e-09,-3.849002894185105e-09,-3.849002450095895e-09
1.0,2.0,8.0,7.96,0.04000000000013415,9.622467267433876e-10,9.622473928772024e-10,-9.62254276259955e-10,-9.622538321707452e-10
0.99,2.0559405561055195,8.690237805515874,0.0,8.690237805515565,1.8716761251980074e-07,1.8716761429615758e-07,-1.8716735139534535e-07,-1.8716734984103311e-07
0.99,2.0559405561055195,8.690237805515874,0.17380475611031748,8.516433049405407,1.834242553400145e-07,1.834242557841037e-07,-1.8342400931459224e-07,-1.8342400864845843e-07
0.99,2.0559405561055195,8.690237805515874,0.5214142683309524,8.168823537184718,1.7593754786382476e-07,1.7593754786382476e-07,-1.7593731871379248e-07,-1.7593731782561406e-07
0.99,2.0559405561055195,8.690237805515874,0.8690237805515875,7.821214024964398,1.6845083239402925e-07,1.6845083306016306e-07,-1.6845063477433087e-07,-1.6845063477433087e-07
0.99,2.0559405561055195,8.690237805515874,1.2166332927722223,7.473604512743709,1.6096412536192872e-07,1.6096412602806254e-07,-1.609639437294419e-07,-1.609639441735311e-07
0.99,2.0559405561055195,8.690237805515874,1.5642428049928574,7.1259950005230195,1.53477418995962e-07,1.5347741944005122e-07,-1.534772515743299e-07,-1.5347725046410687e-07
0.99,2.0559405561055195,8.690237805515874,1.9118523172134922,6.77838548830233,1.459907126299953e-07,1.4599071329612912e-07,-1.459905591971733e-07,-1.4599055853103948e-07
0.99,2.0559405561055195,8.690237805515874,2.2594618294341275,6.430775976081641,1.38504007152207e-07,1.3850400737425161e-07,-1.385038663759275e-07,-1.3850386570979367e-07
0.99,2.0559405561055195,8.690237805515874,2.6070713416547626,6.083166463860952,1.3101730167441872e-07,1.3101730278464174e-07,-1.3101717311059247e-07,-1.3101717266650326e-07
